Student,Text,No evidence,Target phenomena,Set-up conditions,Entities,Activities,Properties,Organization,Chaining
C,Ok. Perfect. Now the second part.,1,0,0,0,0,0,0,0
S,I need to read the second part. Something about gas.,1,0,0,0,0,0,0,0
M,Gas specific heat.,1,0,0,0,0,0,0,0
S,Define an experiment complete with instr - oh my god - instrumentation to determine specific heats of a gas using a resistance heater.,1,0,0,0,0,0,0,0
C,What?,1,0,0,0,0,0,0,0
L,Yeah what?,1,0,0,0,0,0,0,0
S,This does not seem short.,1,0,0,0,0,0,0,0
M,Ok.,1,0,0,0,0,0,0,0
L,So resistance heater um makes me think of some more efficiency stuff.,1,0,0,0,0,0,0,0
S,So just like a heat pump?,1,0,0,0,0,0,0,0
C,Yeah...It could be.,1,0,0,0,0,0,0,0
M,It could just be electricity power. Like do you rememeber in the beginning of the semester when we did those really simple ones where they just had work coming in?,1,0,0,0,0,0,0,0
C,Yes.,1,0,0,0,0,0,0,0
S,What a good time.,1,0,0,0,0,0,0,0
C,I liked those ones. Those were fun.,1,0,0,0,0,0,0,0
M,Ok. So determine specific heats. We need temperatures -,0,1,0,0,0,0,0,0
L,So we need a thermometer to see when it raises a degree.,0,0,1,0,0,0,0,0
C,Items needed. Ok. Um.,0,0,1,0,0,0,0,0
L,It's like in Harry Potter when the guy writes messages.,1,0,0,0,0,0,0,0
C,For temperatures.,1,0,0,0,0,0,0,0
L,Ok it's my test where she told me you need to write neater.,1,0,0,0,0,0,0,0
C,Damn.,1,0,0,0,0,0,0,0
L,"In dynamics, she said try to organize this please.",1,0,0,0,0,0,0,0
S,Just try.,1,0,0,0,0,0,0,0
L,She wrote me like a whole little paragraph.,1,0,0,0,0,0,0,0
C,Oh no.,1,0,0,0,0,0,0,0
S,Is that the professor that's going to be listening to this?,1,0,0,0,0,0,0,0
L,No. Well maybe. Who listens to this? I actually think yeah.,1,0,0,0,0,0,0,0
S,Ok so I guess we start with...,1,0,0,0,0,0,0,0
M,"If we take a closed system, and we heat it up.",1,0,0,0,0,0,0,0
L,"So we need to know how much gas is in there - like mass of the gas, right?",0,0,0,0,1,0,0,0
S,Yeah what the gas -,0,0,0,1,0,0,0,0
L,In a closed system.,0,0,1,0,0,0,0,0
S,- is? I guess we need to know that.,1,0,0,0,0,0,0,0
L,Oh yeah what it is for sure is good.,1,0,0,0,0,0,0,0
M,Yeah.,1,0,0,0,0,0,0,0
C,"How do we determine that, is there like a tool?",0,0,1,0,0,0,0,0
S,So like we just need like energy and mass.,1,0,0,0,0,0,0,0
L,So we can just say what gas it is. I don't know what gas it should be. Nitrogen.,0,0,0,1,0,0,0,0
C,Um. Nitrogen?,0,0,0,1,0,0,0,0
L,Gas.,0,0,0,1,0,0,0,0
C,Um items needed.,0,0,0,1,0,0,0,0
L,don't know.,1,0,0,0,0,0,0,0
C,Thermometer for temperatures.,0,0,0,1,0,0,0,0
L,It's in the air. It's mostly the air. Um.,0,0,0,1,0,0,0,0
M,"So if we assume it's ideal, we only need to find the one to find both.",1,0,0,0,0,0,0,0
S,Right.,1,0,0,0,0,0,0,0
M,So it's probably easier to find -,1,0,0,0,0,0,0,0
L,So -,1,0,0,0,0,0,0,0
M,- the constant volume one because internal energy is -,1,0,0,0,0,0,0,0
L,Yeah we can have - we can have like a -,1,0,0,0,0,0,0,0
M,- easier than enthalpy. Yeah and we're doing - yeah.,1,0,0,0,0,0,0,0
C,I like the constant volume ones.,1,0,0,0,0,0,0,0
S,Yeah. So we need like a container for the gas.,0,0,1,0,0,0,0,0
L,Mhm.,1,0,0,0,0,0,0,0
S,It's a constant volume.,1,0,0,0,0,0,0,0
C,Ok. Container.,1,0,0,0,0,0,0,0
L,So it's a rigid container.,0,0,1,0,0,0,0,0
C,Rigid container.,1,0,0,0,0,0,0,0
L,And... that's in every problem.,1,0,0,0,0,0,0,0
L,Um we'll have a thermometer.,0,0,1,0,0,0,0,0
M,So then it would also be a closed system.,1,0,0,0,0,0,0,0
S,Mhm.,1,0,0,0,0,0,0,0
C,Maintain,1,0,0,0,0,0,0,0
L,And - So we'll know like the - we'll have a barometer. Pressure gauge. Is that what that's called?,0,0,1,0,0,0,0,0
C,Constant...volume...,1,0,0,0,0,0,0,0
S,Mhm.,1,0,0,0,0,0,0,0
L,So with barometer we can measure like the initial pressure and then using ideal gas law we can find the mass of the gas from that.,0,0,1,0,0,0,0,0
C,Pressure... Initial....,1,0,0,0,0,0,0,0
S,Know the mass of the gas.,1,0,0,0,0,0,0,0
L,How would we know mass of gas? You don't know how dense it is.,1,0,0,0,0,0,0,0
S,Evacuate the container and then weigh that. Add the gas.,0,0,0,1,0,0,0,0
L,Oh boy.,1,0,0,0,0,0,0,0
C,Good work.,1,0,0,0,0,0,0,0
S,"Yeah I guess we can barometer, thermometer.",0,0,1,0,0,0,0,0
L,So then we'll calculate the mass and we know the mass - the starting mass.,1,0,0,0,0,0,0,0
C,Ok.,1,0,0,0,0,0,0,0
M,And then we...,1,0,0,0,0,0,0,0
C,So do we need like some sort of mass measuring thing?,0,0,1,0,0,0,0,0
L,"Well if we know temp - initial temperature, pressure, and volume, then you can just find the mass.",1,0,0,0,0,0,0,0
C,Oh then you can find the mass.,1,0,0,0,0,0,0,0
M,And we know what type of gas it is.,1,0,0,0,0,0,0,0
S,Yeah.,1,0,0,0,0,0,0,0
C,"Yeah I wrote down nitrogen gas for items needed. Um ok. So. First, find volume.",1,0,0,0,0,0,0,0
M,"So we can just use the equation q minus w equals the change in internal temperature, which is the integral of constant volume specific heat over temperature.",1,0,0,0,0,0,0,0
S,That sounded good.,1,0,0,0,0,0,0,0
M,Hm?,1,0,0,0,0,0,0,0
S,That sounded good.,1,0,0,0,0,0,0,0
C,Ok what equation?,1,0,0,0,0,0,0,0
M,So this one I think.,1,0,0,0,0,0,0,0
C,equals...T2 T1 c ... T. Perfect.,1,0,0,0,0,0,0,0
M,Um and then just q minus w is change in internal temperature.,1,0,0,0,0,0,0,0
C,q minus w equals delta E.,1,0,0,0,0,0,0,0
M,Yeah.,1,0,0,0,0,0,0,0
C,"How did we - and then how the experiment will... ok first find - I said first find volume, temperature, and presssure to get mass.",1,0,0,0,0,0,0,0
M,What do we do with the integral?,1,0,0,0,0,0,0,0
C,You need these equations.,1,0,0,0,0,0,0,0
S,So I mean I guess like the first step is figuring out the mass. We like talked about how to do that.,1,0,0,0,0,0,0,0
L,Yeah.,1,0,0,0,0,0,0,0
C,"Yeah I did first find volume, temperature, and pressure to get mass.",1,0,0,0,0,0,0,0
L,So then we just need a way - a way to measure like how much energy is going in.,1,0,0,0,0,0,0,0
C,Mm.,1,0,0,0,0,0,0,0
M,There must be some electrical thing.,1,0,0,0,0,0,0,0
L,So we can say it's - so we'll say it's like electrical. Is that work? Electrical work?,1,0,0,0,0,0,0,0
C,Yeah I think.,1,0,0,0,0,0,0,0
M,Yeah with the resistance.,1,0,0,0,0,0,0,0
L,I get confused with what's work.,1,0,0,0,0,0,0,0
C,Yeah use a resistance heater to measure electrical work? Is that a thing?,0,0,1,0,0,0,0,0
L,I don't - wait.,1,0,0,0,0,0,0,0
