Student,Text,No evidence,Target phenomena,Set-up conditions,Entities,Activities,Properties,Organization,Chaining
C,Ok. Ok we have to say all of our names. Carrie (pseudonym).,1,0,0,0,0,0,0,0
L,Lea French (pseudonym). ,1,0,0,0,0,0,0,0
S,Sam (pseudonym).,1,0,0,0,0,0,0,0
M,Mers (pseudonym). ,1,0,0,0,0,0,0,0
C,Ok. Can we just put it there. I think it'll be fine.,1,0,0,0,0,0,0,0
L,Yeah.,1,0,0,0,0,0,0,0
M,It's measuring something.,1,0,0,0,0,0,0,0
C,Alright. Perfect. It's recording. Ok.,1,0,0,0,0,0,0,0
L,It's kinda fancy.,1,0,0,0,0,0,0,0
C,It is. It's really clean. Alright. Ice cream shop cooling.,1,0,0,0,0,0,0,0
S,Ok so we have to submit one writeup.,1,0,0,0,0,0,0,0
C,"One writeup? Ok. Please complete the two problems...total hour on the problems... Ok. So...it's an old building. No good cooling. Ok so it has to maintain a temperautre of fifty-five degrees in the ice cream shop, so we have to estimate the dimensions of the building and use thermodynamics principles to determine the maximum heat loss the shop can have. Alright. And then minimize - suggest a method for minimizing heat loss.",1,0,0,0,0,0,0,0
M,Hm.,1,0,0,0,0,0,0,0
C,Alright. So. I guess we can like do the dimensions first. Maybe.,0,0,1,0,0,0,0,0
M,Yeah.,1,0,0,0,0,0,0,0
L,Should we just make it like a room ice cream shop?,0,0,1,0,0,0,0,0
C,Yeah it is just like one room.,0,0,1,0,0,0,0,0
L,Ten by ten by ten?,1,0,0,0,0,0,0,0
M,Ten by ten by ten. Yeah.,1,0,0,0,0,0,0,0
S,Is that too tall? How tall are buildings?,1,0,0,0,0,0,0,0
L,I feel like ten feet tall.,1,0,0,0,0,0,0,0
S,"Probably ten, yeah.",1,0,0,0,0,0,0,0
C,The roof's kinda short in this place. It's weird cause I've like been here so much. Like but I feel like ten is - I don't know about in the back. The ice cream does get like kinda melted too. So I feel like this is accurate.,1,0,0,0,0,0,0,0
L,Ok. So we're helping solve this real world problem.,1,0,0,0,0,0,0,0
C,And this is literally my hometown. The ice cream shop. Um. But yeah I feel like maybe like ten by ten by twenty? The length goes back like twenty.,1,0,0,0,0,0,0,0
L,So it's bigger?,1,0,0,0,0,0,0,0
C,And then ten up?,1,0,0,0,0,0,0,0
L,Yeah.,1,0,0,0,0,0,0,0
C,I feel like that's a good estimation.,1,0,0,0,0,0,0,0
M,Sounds good.,1,0,0,0,0,0,0,0
C,So.,1,0,0,0,0,0,0,0
L,What is this called? Group homework 1?,1,0,0,0,0,0,0,0
M,Mhm.,1,0,0,0,0,0,0,0
C,Yeah. It's like open-ended. Oh it's an open-ended problem.,1,0,0,0,0,0,0,0
L,Oh god.,1,0,0,0,0,0,0,0
C,It's like ice cream shop cooling. Alright.,1,0,0,0,0,0,0,0
M,Ok. And then we only have to sumbit one in the end so...,1,0,0,0,0,0,0,0
C,Ok.,1,0,0,0,0,0,0,0
M,If someone...,1,0,0,0,0,0,0,0
C,Is someone like - have good handwriting?,1,0,0,0,0,0,0,0
S,I do not.,1,0,0,0,0,0,0,0
C,"Mine's like kinda trash but like if need be, I can write it. Although, does it say...",1,0,0,0,0,0,0,0
L,I can try to write neatly. We'll see how it goes.,1,0,0,0,0,0,0,0
C,"Ok. I like try and write it as well. Cause apparently I think I'm supposed to be responsible for submitting it, but like -",1,0,0,0,0,0,0,0
L,Oh.,1,0,0,0,0,0,0,0
C,"If someone else writes, I can submit it. I don't know. Um. Ok. Um so... it's ice cream shop cooling. So let's see the temperature needs to be maintained at one fifty - or not one fifty. Fifty-five.",0,1,0,0,0,0,0,0
M,"And that's the room, right?",1,0,0,0,0,0,0,0
C,Yeah.,1,0,0,0,0,0,0,0
L,Ok.,1,0,0,0,0,0,0,0
C,Fahrenheit. And then estimating dimensions of the room. Ten by ten by twenty. Um.,0,0,1,0,0,0,0,0
L,So then do we have to change everything to metric? To do the things?,1,0,0,0,0,0,0,0
C,Yeah probably.,1,0,0,0,0,0,0,0
S,Yeah.,1,0,0,0,0,0,0,0
L,Lovely.,1,0,0,0,0,0,0,0
M,"We could say ten meters by ten meters, but -",1,0,0,0,0,0,0,0
L,That's true.,1,0,0,0,0,0,0,0
S,Then it's like big.,0,0,1,0,0,0,0,0
L,It could be a big room.,0,0,1,0,0,0,0,0
C,I'm bad at picturing these things.,1,0,0,0,0,0,0,0
L,I guess a meter is like three-ish feet. So it's like thirty feet high. It could be like high vaulted ceilings.,0,0,1,0,0,0,0,0
S,It doesn't look like high vaulted ceilings.,0,0,1,0,0,0,0,0
C,It's definitely not. I feel like the inside's a solid like eight feet tall. Or like seven. Um. Ok. Need to like Google feet to meters...ok one foot is like point three meters. So -,1,0,0,0,0,0,0,0
L,Ok.,1,0,0,0,0,0,0,0
C,"- if we do ten feet, it's three meters.",1,0,0,0,0,0,0,0
M,Sounds good.,1,0,0,0,0,0,0,0
C,So we can do three by three by six.,1,0,0,0,0,0,0,0
L,Sure. Yeah.,1,0,0,0,0,0,0,0
C,Meters. Three feet. Ok. And then...,1,0,0,0,0,0,0,0
M,And then we can probably -,1,0,0,0,0,0,0,0
C,Probably do Fahrenheit to Kelvin.,1,0,0,0,0,0,0,0
M,Yeah.,1,0,0,0,0,0,0,0
S,"Yeah I was just looking that up. So fifty-five is two eighty-five point nine two eight Kelvin. It's fifty-five, right?",1,0,0,0,0,0,0,0
L,Mhm.,1,0,0,0,0,0,0,0
C,Ok. Two eighty-five point nine two eight K. Alright.,1,0,0,0,0,0,0,0
M,"And then I'm not sure if we need it, but we can probably assume that the ice cream is at zero degrees Celsius?",0,0,1,0,0,0,0,0
C,Yeah.,1,0,0,0,0,0,0,0
M,So that'd be two seventy-three.,1,0,0,0,0,0,0,0
C,Ok.,1,0,0,0,0,0,0,0
M,If we need that.,1,0,0,0,0,0,0,0
C,Assume ice cream...frozen... Ok two seventy-three Kelvin. Ok. Um. Ok so now we have to determine the maximum heat loss the shop can have using thermodynamics principles.,0,0,1,0,0,0,0,0
C,Well um let's see. Could we say it's like - I don't know we can't nevermind cause it's the - um.,1,0,0,0,0,0,0,0
S,So I guess we need to come up with like a temperature that the outside is?,0,0,1,0,0,0,0,0
C,Yeah. I mean -,1,0,0,0,0,0,0,0
S,Is it summer?,0,0,1,0,0,0,0,0
C,"Could we say it's like summertime. It's usually open in the summer and closes for the winter, so I feel like -",0,0,1,0,0,0,0,0
L,Oh so we don't actually need to worry about the freezer? We're just worried about the room and the outside?,0,0,1,0,0,0,0,0
C,Probably.,1,0,0,0,0,0,0,0
S,I think we can decide...,1,0,0,0,0,0,0,0
C,So assume,1,0,0,0,0,0,0,0
M,The room is probably - I think we can probably assume the room is a closed system cause there's not significant air?,0,0,0,1,0,0,0,0
C,Yeah.,1,0,0,0,0,0,0,0
L,Mhm.,1,0,0,0,0,0,0,0
C,I think that's a fair assumption. Um ok assuming outside temperature is what like eighty degrees Fahrenheit? I don't know what that is in Kelvin.,0,0,1,0,0,0,0,0
S,Here I can convert.,1,0,0,0,0,0,0,0
C,Two ninety-nine. Ok. Ok. Then so - and then we're also assuming that the ice cream shop is like a closed system.,0,0,1,0,0,0,0,0
L,Mhm.,1,0,0,0,0,0,0,0
C,Ok. Ok. So yeah I need to look at like my notes from closed systems. I feel like that was so long ago. Oh no.,1,0,0,0,0,0,0,0
M,Um. There's not really any work.,1,0,0,0,0,0,0,0
C,Yeah.,1,0,0,0,0,0,0,0
S,I kind of don't understand how you can figure out like what the maximum heat loss is.,1,0,0,0,0,0,0,0
C,"Just on the inside temperature, outside temperature.",1,0,0,0,0,0,0,0
L,Wouldn't there need to be like a heat gain too?,1,0,0,0,0,0,0,0
