Student,Text,No evidence,Target phenomena,Set-up conditions,Entities,Activities,Properties,Organization,Chaining
T,Ok. Cool. Let's get started. Um ok everyone on the doc?,1,0,0,0,0,0,0,0
A,Yes.,1,0,0,0,0,0,0,0
T,Ok. Um. So.,1,0,0,0,0,0,0,0
A,"They're two separate the questions, right? They're not tied together. ",1,0,0,0,0,0,0,0
T,Yeah no they're two separate questions. Um. Ok so I have some thoughts on the first one. ,1,0,0,0,0,0,0,0
X,Ok. ,1,0,0,0,0,0,0,0
T,I guess we can all like - I don't know - go around if we want.,1,0,0,0,0,0,0,0
X,Sure.,1,0,0,0,0,0,0,0
T,"Um. So I was just thinking we know that um - we have the equation that like c m delta T equals uh like total energy, right? ",1,0,0,0,0,0,0,0
X,Ok. ,1,0,0,0,0,0,0,0
T,Right going from - oh no well so it equals U internal energy.,1,0,0,0,0,0,0,0
X,Um.,1,0,0,0,0,0,0,0
T,"Right from when we - when we integrate that - or actually equals - I guess in using a gas equals Q - Q minus W. Um. Ok yeah we can pull up the exact equation, but just along those lines, we know that we can get Q from a resistor by finding the power, which will give us watts, and then to get it to Joules, multiply it - or I guess divide it by time.",1,0,0,0,0,0,0,0
X,So.,1,0,0,0,0,0,0,0
T,A watt is a - no a watt is a joule per second.,1,0,0,0,0,0,0,0
X,A watt is a joule per second. ,1,0,0,0,0,0,0,0
T,So then times time.,1,0,0,0,0,0,0,0
X,"So from an instrumentation standpoint, what we need going into the resistor is we need a voltage across the resistor, and we need to know - we need to take a current rating going through that, and that will give us how much power is actually there. ",0,0,1,0,0,0,0,0
T,Yeah well power equals I squared R. ,1,0,0,0,0,0,0,0
X,Right.,1,0,0,0,0,0,0,0
T,Right?,1,0,0,0,0,0,0,0
A,Yes.,1,0,0,0,0,0,0,0
X,Yeah. But - ,1,0,0,0,0,0,0,0
T,So.,1,0,0,0,0,0,0,0
X,"But the thing there is that you would have to make sure that you actually know the resistance, and resistance will change with temperature, so a much better way to do it would be to look at the voltage drop across the resistor.",0,0,1,0,0,0,0,0
T,Ok.,1,0,0,0,0,0,0,0
X,"And the current going in, and then we don't have to worry about what the resistance was.",1,0,0,0,0,0,0,0
T,"Ok. That would be a very nice way of doing it. What's the...I squared...it's V equals I over R, right?",1,0,0,0,0,0,0,0
X,Uh. ,1,0,0,0,0,0,0,0
T,And so.,1,0,0,0,0,0,0,0
X,So for - ,1,0,0,0,0,0,0,0
A,V equals I R.,1,0,0,0,0,0,0,0
X,Yeah V equals I R. ,1,0,0,0,0,0,0,0
T,V equals I R. So it would be I Q times V? Or wait wait.,1,0,0,0,0,0,0,0
X,"So it would be - well so what it would be is it would be um since V equals I R, then it - V times uh current, so V times I, equals power. So.",1,0,0,0,0,0,0,0
T,Yes.,1,0,0,0,0,0,0,0
A,P equals I R.,1,0,0,0,0,0,0,0
T,Yeah. Ok wait so - wait writing power in terms of I and R is gonna be...,1,0,0,0,0,0,0,0
A,Cause resistance and temperature affects it. ,1,0,0,0,0,0,0,0
T,Yes ok. ,1,0,0,0,0,0,0,0
X,"So power - so if you wanted you could replace one of the I squared and the R as just the V, so then it's just V times I.",1,0,0,0,0,0,0,0
T,Yes. Thank you.,1,0,0,0,0,0,0,0
X,Yeah. ,1,0,0,0,0,0,0,0
T,Um. Ok. So we're going to get Q equals V I times time.,1,0,0,0,0,0,0,0
X,Yup.,1,0,0,0,0,0,0,0
T,Equals c m delta T.,1,0,0,0,0,0,0,0
X,"And actually what's really great with this is um because we're assuming that we're going to be taking readings at time steps, we would actually integrate. We would just - we would just integrate whatever we got for uh V I over time, and we would just get the area under the curve and that would tell us how much power had gone in. ",1,0,0,0,0,0,0,0
A,Oh true. ,1,0,0,0,0,0,0,0
T,Yeah. ,1,0,0,0,0,0,0,0
X,So. So um - ,1,0,0,0,0,0,0,0
T,That is quite nice ok. So we could - yeah so we could do it at -,1,0,0,0,0,0,0,0
X,So it would be - ,1,0,0,0,0,0,0,0
T,"Take it at certain intervals of time, and then just find the area of that graph. ",1,0,0,0,0,0,0,0
X,Right. ,1,0,0,0,0,0,0,0
T,Basically.,1,0,0,0,0,0,0,0
X,"Or yeah so I guess that would be uh - I guess it wouldn't be an integral it would be a summation? Because we're doing discrete time steps, but we would - we could just call it an integral and then - ",1,0,0,0,0,0,0,0
P,Like a Riemann sum. ,1,0,0,0,0,0,0,0
A,Same thing. ,1,0,0,0,0,0,0,0
T,Yeah. Well Riemann sum and integral - aren't they just.,1,0,0,0,0,0,0,0
X,Well a Riemann sum would be if your time step was infinitesimally small.,1,0,0,0,0,0,0,0
T,Yeah. Ok. ,1,0,0,0,0,0,0,0
X,"But we're assuming that we're taking readings, so there is some time step in there that isn't infinitesimally small.",1,0,0,0,0,0,0,0
