Student,Text,No evidence,Target phenomena,Set-up conditions,Entities,Activities,Properties,Organization,Chaining
P,"Yeah. The second problem I have no idea where to start on. I do know that the - and this is not really relevant to what they're asking - but the advantage of having the hybrid systems is you don't have to keep your oxidizer with your actual fuel, so it's not as dangerous. But I don't know what losses that entails. ",0,0,0,1,0,0,0,0
R,Any ideas for what space rocket we want to use for the next one?,0,0,1,0,0,0,0,0
P,Oh I don't know. Just some tube with a bomb on the end of it. For our model. ,0,0,1,0,0,0,0,0
G,Ok. Can you look into the SpaceX Dragon and find out what kind of propellant it uses?,0,0,0,0,0,1,0,0
P,SpaceX Dragon.,1,0,0,0,0,0,0,0
G,"And then I think the SLS uses solid? Roger can you look up the SLS and see if it uses solid? I know the Falcon 9 uses liquid, so we just need one that's hybrid.",0,0,0,0,0,1,0,0
P,So the SpaceX Draco is a family of hypergolic liquid engines designed and built by SpaceX.,1,0,0,0,0,0,0,0
G,"Ok so they're all liquid. I mean you can also look at the - I'm looking for the um efficiency of the Falcon 9. You can also look for that. I think what we want is an efficiency or information about a hybrid though, cause Falcon 9 is liquid. ",0,0,0,0,0,1,0,0
R,Liquid.,1,0,0,0,0,0,0,0
G,Liquid? What about the um...,1,0,0,0,0,0,0,0
P,I assume it's lower than liquid but...,1,0,0,0,0,0,0,0
G,Well it must be if all the main sources are using liquid.,1,0,0,0,0,0,0,0
P,Yeah and I mean just in general when you have more than one interacting component you kill your efficiency. I mean there's a specific example of a hybrid rocket that has 93% combustion efficiency. Did you see uh for the Falcon 9 what the efficiency was like in vacuum for convenience's sake?,1,0,0,0,0,0,0,0
G,I'm looking for it. ,1,0,0,0,0,0,0,0
P,Yeah um...,1,0,0,0,0,0,0,0
P,"This is just Wikipedia. Whatever example they used, which was a...",1,0,0,0,0,0,0,0
P,This especially efficient hybrid one on Wikipedia which was like uh made by Beech Aircraft and United Technology Center.,1,0,0,0,0,0,0,0
G,And that's a hybrid?,1,0,0,0,0,0,0,0
P,That was a hybrid. That got 93% combustion efficiency in vacuum.,1,0,0,0,0,0,0,0
G,That's a lot.,1,0,0,0,0,0,0,0
P,Yeah. But I think this is like an exception more than - it's the exceptional rather than the typical.,1,0,0,0,0,0,0,0
G,"Well we can say based on that, which we know is highly efficient, we know that the average would be less, so let's say it's 80% efficient.",1,0,0,0,0,0,0,0
P,"Something like that. Um but to compare that to liquid, liquid rocket efficiency. Two f's in efficiency.",1,0,0,0,0,0,0,0
G,How do you spell efficiency? Oh ok. I just have that it's all very high efficiency.,1,0,0,0,0,0,0,0
P,It's real good.,1,0,0,0,0,0,0,0
G,It's real good. ,1,0,0,0,0,0,0,0
P,Like encroaching on 99 100 or...?,1,0,0,0,0,0,0,0
G,I don't know. All I've got thus far is it's real good.,1,0,0,0,0,0,0,0
P,It's real good.,1,0,0,0,0,0,0,0
R,So have we decided on what type we're going with yet?,1,0,0,0,0,0,0,0
P,I mean - ,1,0,0,0,0,0,0,0
G,Well we have to talk about both.,1,0,0,0,0,0,0,0
P,Yeah.,1,0,0,0,0,0,0,0
G,The question is compare the two. But we need the efficiency of each one. ,1,0,0,0,0,0,0,0
P,Keep Googling. ,1,0,0,0,0,0,0,0
R,So we're thinking one gas rocket and one liquid one?,0,0,1,0,0,0,0,0
G,One hybrid and one liquid one.,0,0,1,0,0,0,0,0
R,Gotcha. ,1,0,0,0,0,0,0,0
G,Cause a hybrid is solid and gas - or solid and liquid - and then liquid - usually gases are not used as a propellant.,0,0,0,0,0,1,0,0
P,Yeah cause they're dangerous and they take up a lot of space. ,0,0,0,0,0,1,0,0
G,Yeah and they're also not super efficient usually.,1,0,0,0,0,0,0,0
P,Yeah. Although I think in the description it said - ,1,0,0,0,0,0,0,0
G,I mean like liquids and solids usually are harder to launch because you need more of them because they're more massive. But it's just they're better efficiencies than - ,0,0,0,0,0,1,0,0
P,I found the thrust equation for rockets. I don't know if we need that. F equals m dot times v - ,1,0,0,0,0,0,0,0
G,That's a good thing to have. ,1,0,0,0,0,0,0,0
P,Plus pe minus p0 times the cross-sectional area that it's leaving the rocket at. ,1,0,0,0,0,0,0,0
P,"For starts we can write down this rocket equation, which will probably be useful.",1,0,0,0,0,0,0,0
D,Thrust equals the change in mass. ve is equal to...,1,0,0,0,0,0,0,0
P,I don't know. Whatever the subscript is.,1,0,0,0,0,0,0,0
D,Ok cool.,1,0,0,0,0,0,0,0
G,Um. ,1,0,0,0,0,0,0,0
D,The potential energy of the exhaust? What?,1,0,0,0,0,0,0,0
P,I think it's pressure. I think it's pressure. It's pressure differential.,1,0,0,0,0,0,0,0
D,Ok.,1,0,0,0,0,0,0,0
P,"Yeah cause the po is outside of it, which if we're assuming vacuum makes that much easier and then the cross-section area of your like rocket tail - your engine tail.",1,0,0,0,0,0,0,0
G,I think A is the cross-sectional area - ,1,0,0,0,0,0,0,0
P,Yeah.,1,0,0,0,0,0,0,0
G,"ve is the velocity, and pe is pressure.",1,0,0,0,0,0,0,0
D,Oh v is the exit velocity. Ok that makes sense.,1,0,0,0,0,0,0,0
G,"This is exit velocity, exit area, exit pressure, and initial pressure.",1,0,0,0,0,0,0,0
D,Initial pressure. Or outside pressure?,1,0,0,0,0,0,0,0
P,I think it's environment pressure.,1,0,0,0,0,0,0,0
