t,j,argmax_state,max_prob
0,0,0,1.0
0,1,0,1.0
0,2,0,1.0
0,3,2,0.608122
1,0,0,0.67343646
1,1,2,1.0
1,2,0,0.67343646
1,3,0,0.54697764
2,0,0,0.65851974
2,1,0,0.75826746
2,2,0,0.65851974
2,3,2,1.0
3,0,0,0.6578384
3,1,2,1.0
3,2,0,0.6578384
3,3,0,0.75826746
4,0,0,0.65780723
4,1,0,0.75826746
4,2,0,0.65780723
4,3,2,1.0
5,0,0,0.65780574
5,1,2,1.0
5,2,0,0.65780586
5,3,0,0.75826746
6,0,0,0.6578035
6,1,0,0.75826746
6,2,0,0.65780574
6,3,2,1.0
7,0,0,0.65775543
7,1,2,1.0
7,2,0,0.65780574
7,3,1,0.55501854
8,0,0,0.6567041
8,1,0,0.75826746
8,2,0,0.65780574
8,3,3,0.99999815
9,0,0,0.6336884
9,1,2,1.0
9,2,0,0.65780574
9,3,1,0.9595778
10,0,2,0.9988457
10,1,0,0.75826746
10,2,0,0.65780574
10,3,0,0.62955344
11,0,0,0.7576451
11,1,2,1.0
11,2,0,0.65780574
11,3,0,0.65542495
12,0,2,0.99999994
12,1,1,0.6798243
12,2,0,0.65780574
12,3,0,0.6338663
13,0,1,0.7019908
13,1,0,0.6423835
13,2,0,0.65780574
13,3,2,0.999575
14,0,2,1.0
14,1,0,0.65710133
14,2,0,0.65780574
14,3,0,0.7580382
15,0,0,0.75826746
15,1,0,0.6577736
15,2,0,0.65780574
15,3,2,0.9999998
16,0,2,1.0
16,1,0,0.6578043
16,2,0,0.65780574
16,3,0,0.77595043
17,0,2,1.0
17,1,0,0.6578057
17,2,0,0.65780574
17,3,0,0.63967127
18,0,0,0.7575936
18,1,0,0.6578057
18,2,0,0.65780574
18,3,2,1.0
19,0,2,0.997849
19,1,0,0.6578035
19,2,0,0.65780574
19,3,0,0.75826746
20,0,1,0.7025531
20,1,0,0.6577558
20,2,0,0.65780574
20,3,2,1.0
21,0,2,1.0
21,1,0,0.6567117
21,2,0,0.65780574
21,3,0,0.75826746
22,0,1,0.6798243
22,1,0,0.6338535
22,2,0,0.65780574
22,3,2,1.0
23,0,0,0.64238346
23,1,2,0.9993504
23,2,0,0.65780574
23,3,0,0.75826746
24,0,0,0.65709907
24,1,1,0.9135236
24,2,0,0.65780574
24,3,2,1.0
25,0,0,0.657724
25,1,2,1.0
25,2,0,0.65780574
25,3,1,0.55377334
26,0,0,0.6567199
26,1,0,0.75826746
26,2,0,0.65780574
26,3,3,0.9960235
27,0,0,0.6340659
27,1,2,1.0
27,2,0,0.65780574
27,3,1,0.99039286
28,0,2,1.0
28,1,0,0.77678627
28,2,0,0.65780574
28,3,0,0.6036434
29,0,0,0.75826746
29,1,0,0.66324043
29,2,0,0.65780574
29,3,2,1.0
30,0,2,1.0
30,1,0,0.6580517
30,2,0,0.65780574
30,3,1,0.9134729
31,0,0,0.75826746
31,1,0,0.6577676
31,2,0,0.65780574
31,3,2,1.0
32,0,2,1.0
32,1,0,0.6567219
32,2,0,0.65780574
32,3,1,0.7020315
33,0,0,0.7767481
33,1,0,0.634066
33,2,0,0.65780574
33,3,2,0.9997966
34,0,0,0.6621645
34,1,2,1.0
34,2,0,0.65780574
34,3,0,0.7581578
35,0,0,0.63432187
35,1,0,0.77678627
35,2,0,0.65780574
35,3,2,1.0
36,0,2,1.0
36,1,0,0.66324055
36,2,0,0.65780574
36,3,0,0.75826746
37,0,0,0.75826746
37,1,0,0.658054
37,2,0,0.65780574
37,3,2,1.0
38,0,2,1.0
38,1,0,0.6578171
38,2,0,0.65780574
38,3,1,0.7019908
39,0,0,0.75826746
39,1,0,0.6578063
