seed,entity,spearman_corr_next_p_k0_vs_prev_evidence_self,pearson_corr_next_p_k0_vs_prev_evidence_self,spearman_corr_next_p_k1_vs_prev_evidence_self,pearson_corr_next_p_k1_vs_prev_evidence_self,spearman_corr_next_p_k2_vs_prev_evidence_self,pearson_corr_next_p_k2_vs_prev_evidence_self,spearman_corr_next_p_k3_vs_prev_evidence_self,pearson_corr_next_p_k3_vs_prev_evidence_self
17,0,-0.143555157083404,-0.1878582994252364,0.2265208569683997,0.4772262391552606,-0.0595359361803327,-0.0494892779275765,-0.0600530800372951,-0.0268476722682006
17,1,-0.1063828206239041,-0.1365012868524376,0.1980458513414487,0.4144944471644324,-0.0645894294688425,-0.0559613568914113,-0.0639976463638554,-0.0177821519550571
17,2,-0.0799480122427716,-0.1448832593945353,0.3095837084770068,0.6178876798586193,-0.1388381136613273,-0.1153439781463852,-0.1326459698375413,-0.0383760493539379
17,3,-0.1565163844616438,-0.2352196470423382,0.3610708661182616,0.65446876544983,-0.1317044003383806,-0.1005543841148857,-0.130536855350958,-0.0526715789089013
41,0,-0.143555157083404,-0.1878582994252364,0.2265208569683997,0.4772262391552606,-0.0595359361803327,-0.0494892779275765,-0.0600530800372951,-0.0268476722682006
41,1,-0.1063828206239041,-0.1365012868524376,0.1980458513414487,0.4144944471644324,-0.0645894294688425,-0.0559613568914113,-0.0639976463638554,-0.0177821519550571
41,2,-0.0799480122427716,-0.1448832593945353,0.3095837084770068,0.6178876798586193,-0.1388381136613273,-0.1153439781463852,-0.1326459698375413,-0.0383760493539379
41,3,-0.1565163844616438,-0.2352196470423382,0.3610708661182616,0.65446876544983,-0.1317044003383806,-0.1005543841148857,-0.130536855350958,-0.0526715789089013
76,0,-0.143555157083404,-0.1878582994252364,0.2265208569683997,0.4772262391552606,-0.0595359361803327,-0.0494892779275765,-0.0600530800372951,-0.0268476722682006
76,1,-0.1063828206239041,-0.1365012868524376,0.1980458513414487,0.4144944471644324,-0.0645894294688425,-0.0559613568914113,-0.0639976463638554,-0.0177821519550571
76,2,-0.0799480122427716,-0.1448832593945353,0.3095837084770068,0.6178876798586193,-0.1388381136613273,-0.1153439781463852,-0.1326459698375413,-0.0383760493539379
76,3,-0.1565163844616438,-0.2352196470423382,0.3610708661182616,0.65446876544983,-0.1317044003383806,-0.1005543841148857,-0.130536855350958,-0.0526715789089013
166,0,-0.143555157083404,-0.1878582994252364,0.2265208569683997,0.4772262391552606,-0.0595359361803327,-0.0494892779275765,-0.0600530800372951,-0.0268476722682006
166,1,-0.1063828206239041,-0.1365012868524376,0.1980458513414487,0.4144944471644324,-0.0645894294688425,-0.0559613568914113,-0.0639976463638554,-0.0177821519550571
166,2,-0.0799480122427716,-0.1448832593945353,0.3095837084770068,0.6178876798586193,-0.1388381136613273,-0.1153439781463852,-0.1326459698375413,-0.0383760493539379
166,3,-0.1565163844616438,-0.2352196470423382,0.3610708661182616,0.65446876544983,-0.1317044003383806,-0.1005543841148857,-0.130536855350958,-0.0526715789089013
126,0,-0.143555157083404,-0.1878582994252364,0.2265208569683997,0.4772262391552606,-0.0595359361803327,-0.0494892779275765,-0.0600530800372951,-0.0268476722682006
126,1,-0.1063828206239041,-0.1365012868524376,0.1980458513414487,0.4144944471644324,-0.0645894294688425,-0.0559613568914113,-0.0639976463638554,-0.0177821519550571
126,2,-0.0799480122427716,-0.1448832593945353,0.3095837084770068,0.6178876798586193,-0.1388381136613273,-0.1153439781463852,-0.1326459698375413,-0.0383760493539379
126,3,-0.1565163844616438,-0.2352196470423382,0.3610708661182616,0.65446876544983,-0.1317044003383806,-0.1005543841148857,-0.130536855350958,-0.0526715789089013
