seed,scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
17,mech_evidence,1,452,0.7451145748187483,0.2238919905190209,1,1
17,no_mech_evidence,1,3210,0.0922153492292789,0.1029197333754497,6,0
41,mech_evidence,1,452,0.7451145748187483,0.2238919905190209,1,1
41,no_mech_evidence,1,3210,0.0922153492292789,0.1029197333754497,6,0
76,mech_evidence,1,452,0.7451145748187483,0.2238919905190209,1,1
76,no_mech_evidence,1,3210,0.0922153492292789,0.1029197333754497,6,0
166,mech_evidence,1,452,0.7451145748187483,0.2238919905190209,1,1
166,no_mech_evidence,1,3210,0.0922153492292789,0.1029197333754497,6,0
126,mech_evidence,1,452,0.7451145748187483,0.2238919905190209,1,1
126,no_mech_evidence,1,3210,0.0922153492292789,0.1029197333754497,6,0
