seed,condition,transition,k_used,n_pairs,mean_posterior,std_posterior,min_count,max_count
17,evidence,silent_to_talk,3,452,0.3396490530127007,0.4728109017528473,296,152
17,evidence,silent_to_silent,1,916,0.3566294641246181,0.0743036319619138,2,0
17,no_evidence,silent_to_talk,3,3210,0.1544487876160431,0.3591270419612817,2680,483
17,no_evidence,silent_to_silent,1,6492,0.3400671074094591,0.0714440031274526,12,0
41,evidence,silent_to_talk,3,452,0.3396490530127007,0.4728109017528473,296,152
41,evidence,silent_to_silent,1,916,0.3566294641246181,0.0743036319619138,2,0
41,no_evidence,silent_to_talk,3,3210,0.1544487876160431,0.3591270419612817,2680,483
41,no_evidence,silent_to_silent,1,6492,0.3400671074094591,0.0714440031274526,12,0
76,evidence,silent_to_talk,3,452,0.3396490530127007,0.4728109017528473,296,152
76,evidence,silent_to_silent,1,916,0.3566294641246181,0.0743036319619138,2,0
76,no_evidence,silent_to_talk,3,3210,0.1544487876160431,0.3591270419612817,2680,483
76,no_evidence,silent_to_silent,1,6492,0.3400671074094591,0.0714440031274526,12,0
166,evidence,silent_to_talk,3,452,0.3396490530127007,0.4728109017528473,296,152
166,evidence,silent_to_silent,1,916,0.3566294641246181,0.0743036319619138,2,0
166,no_evidence,silent_to_talk,3,3210,0.1544487876160431,0.3591270419612817,2680,483
166,no_evidence,silent_to_silent,1,6492,0.3400671074094591,0.0714440031274526,12,0
126,evidence,silent_to_talk,3,452,0.3396490530127007,0.4728109017528473,296,152
126,evidence,silent_to_silent,1,916,0.3566294641246181,0.0743036319619138,2,0
126,no_evidence,silent_to_talk,3,3210,0.1544487876160431,0.3591270419612817,2680,483
126,no_evidence,silent_to_silent,1,6492,0.3400671074094591,0.0714440031274526,12,0
