seed,entity,spearman_corr_next_p_k0_vs_prev_evidence_self,pearson_corr_next_p_k0_vs_prev_evidence_self,spearman_corr_next_p_k1_vs_prev_evidence_self,pearson_corr_next_p_k1_vs_prev_evidence_self,spearman_corr_next_p_k2_vs_prev_evidence_self,pearson_corr_next_p_k2_vs_prev_evidence_self,spearman_corr_next_p_k3_vs_prev_evidence_self,pearson_corr_next_p_k3_vs_prev_evidence_self
17,0,-0.1125638244622188,-0.1803832308694207,0.1955305899366211,0.3461830316165122,-0.0595407847538571,-0.0491889235861293,-0.06007361602239,-0.0272872317102735
17,1,-0.0888593302865162,-0.1393795187751966,0.1805216221243653,0.3098191455535921,-0.0645707309873254,-0.0559494034881781,-0.0640999499336589,-0.0178958916225807
17,2,-0.0594669675088528,-0.1508437828502306,0.2890866141199828,0.4193594092566628,-0.1387933792276066,-0.1146109224951546,-0.1327305120435938,-0.0395118524998118
17,3,-0.1316939593676686,-0.2322636176281699,0.3362513042491586,0.4913876575714061,-0.1316719893444876,-0.0999244924468121,-0.1306250431325205,-0.053272909717283
41,0,-0.1125638244622188,-0.1803832308694207,0.1955305899366211,0.3461830316165122,-0.0595407847538571,-0.0491889235861293,-0.06007361602239,-0.0272872317102735
41,1,-0.0888593302865162,-0.1393795187751966,0.1805216221243653,0.3098191455535921,-0.0645707309873254,-0.0559494034881781,-0.0640999499336589,-0.0178958916225807
41,2,-0.0594669675088528,-0.1508437828502306,0.2890866141199828,0.4193594092566628,-0.1387933792276066,-0.1146109224951546,-0.1327305120435938,-0.0395118524998118
41,3,-0.1316939593676686,-0.2322636176281699,0.3362513042491586,0.4913876575714061,-0.1316719893444876,-0.0999244924468121,-0.1306250431325205,-0.053272909717283
76,0,-0.1125638244622188,-0.1803832308694207,0.1955305899366211,0.3461830316165122,-0.0595407847538571,-0.0491889235861293,-0.06007361602239,-0.0272872317102735
76,1,-0.0888593302865162,-0.1393795187751966,0.1805216221243653,0.3098191455535921,-0.0645707309873254,-0.0559494034881781,-0.0640999499336589,-0.0178958916225807
76,2,-0.0594669675088528,-0.1508437828502306,0.2890866141199828,0.4193594092566628,-0.1387933792276066,-0.1146109224951546,-0.1327305120435938,-0.0395118524998118
76,3,-0.1316939593676686,-0.2322636176281699,0.3362513042491586,0.4913876575714061,-0.1316719893444876,-0.0999244924468121,-0.1306250431325205,-0.053272909717283
166,0,-0.1125638244622188,-0.1803832308694207,0.1955305899366211,0.3461830316165122,-0.0595407847538571,-0.0491889235861293,-0.06007361602239,-0.0272872317102735
166,1,-0.0888593302865162,-0.1393795187751966,0.1805216221243653,0.3098191455535921,-0.0645707309873254,-0.0559494034881781,-0.0640999499336589,-0.0178958916225807
166,2,-0.0594669675088528,-0.1508437828502306,0.2890866141199828,0.4193594092566628,-0.1387933792276066,-0.1146109224951546,-0.1327305120435938,-0.0395118524998118
166,3,-0.1316939593676686,-0.2322636176281699,0.3362513042491586,0.4913876575714061,-0.1316719893444876,-0.0999244924468121,-0.1306250431325205,-0.053272909717283
126,0,-0.1125638244622188,-0.1803832308694207,0.1955305899366211,0.3461830316165122,-0.0595407847538571,-0.0491889235861293,-0.06007361602239,-0.0272872317102735
126,1,-0.0888593302865162,-0.1393795187751966,0.1805216221243653,0.3098191455535921,-0.0645707309873254,-0.0559494034881781,-0.0640999499336589,-0.0178958916225807
126,2,-0.0594669675088528,-0.1508437828502306,0.2890866141199828,0.4193594092566628,-0.1387933792276066,-0.1146109224951546,-0.1327305120435938,-0.0395118524998118
126,3,-0.1316939593676686,-0.2322636176281699,0.3362513042491586,0.4913876575714061,-0.1316719893444876,-0.0999244924468121,-0.1306250431325205,-0.053272909717283
