seed,scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
17,mech_evidence,1,452,0.8805924195433612,0.2104266240994376,1,116
17,no_mech_evidence,1,3210,0.3947718733010634,0.2568896867396634,6,47
41,mech_evidence,1,452,0.8805924195433612,0.2104266240994376,1,116
41,no_mech_evidence,1,3210,0.3947718733010634,0.2568896867396634,6,47
76,mech_evidence,1,452,0.8805924195433612,0.2104266240994376,1,116
76,no_mech_evidence,1,3210,0.3947718733010634,0.2568896867396634,6,47
166,mech_evidence,1,452,0.8805924195433612,0.2104266240994376,1,116
166,no_mech_evidence,1,3210,0.3947718733010634,0.2568896867396634,6,47
126,mech_evidence,1,452,0.8805924195433612,0.2104266240994376,1,116
126,no_mech_evidence,1,3210,0.3947718733010634,0.2568896867396634,6,47
