seed,condition,transition,k_used,n_pairs,mean_posterior,std_posterior,min_count,max_count
17,evidence,silent_to_talk,3,452,0.3401768891368121,0.4721863420844873,297,150
17,evidence,silent_to_silent,1,916,0.3661851510730893,0.0832045359407347,2,0
17,no_evidence,silent_to_talk,3,3210,0.16009225928441,0.3644681297989538,2669,499
17,no_evidence,silent_to_silent,1,6492,0.3564221219688158,0.0605760538154564,12,0
41,evidence,silent_to_talk,3,452,0.3401768891368121,0.4721863420844873,297,150
41,evidence,silent_to_silent,1,916,0.3661851510730893,0.0832045359407347,2,0
41,no_evidence,silent_to_talk,3,3210,0.16009225928441,0.3644681297989538,2669,499
41,no_evidence,silent_to_silent,1,6492,0.3564221219688158,0.0605760538154564,12,0
76,evidence,silent_to_talk,3,452,0.3401768891368121,0.4721863420844873,297,150
76,evidence,silent_to_silent,1,916,0.3661851510730893,0.0832045359407347,2,0
76,no_evidence,silent_to_talk,3,3210,0.16009225928441,0.3644681297989538,2669,499
76,no_evidence,silent_to_silent,1,6492,0.3564221219688158,0.0605760538154564,12,0
166,evidence,silent_to_talk,3,452,0.3401768891368121,0.4721863420844873,297,150
166,evidence,silent_to_silent,1,916,0.3661851510730893,0.0832045359407347,2,0
166,no_evidence,silent_to_talk,3,3210,0.16009225928441,0.3644681297989538,2669,499
166,no_evidence,silent_to_silent,1,6492,0.3564221219688158,0.0605760538154564,12,0
126,evidence,silent_to_talk,3,452,0.3401768891368121,0.4721863420844873,297,150
126,evidence,silent_to_silent,1,916,0.3661851510730893,0.0832045359407347,2,0
126,no_evidence,silent_to_talk,3,3210,0.16009225928441,0.3644681297989538,2669,499
126,no_evidence,silent_to_silent,1,6492,0.3564221219688158,0.0605760538154564,12,0
