seed,entity,spearman_corr_next_p_k0_vs_prev_evidence_self,pearson_corr_next_p_k0_vs_prev_evidence_self,spearman_corr_next_p_k1_vs_prev_evidence_self,pearson_corr_next_p_k1_vs_prev_evidence_self,spearman_corr_next_p_k2_vs_prev_evidence_self,pearson_corr_next_p_k2_vs_prev_evidence_self,spearman_corr_next_p_k3_vs_prev_evidence_self,pearson_corr_next_p_k3_vs_prev_evidence_self
17,0,0.1751089709864758,0.197295223445219,-0.0921677180700348,-0.1260625132827635,-0.0527185489720513,-0.0421976040860966,-0.0359363680567199,-0.0362798649634158
17,1,0.1536087604111985,0.1771130995987487,-0.0619734531486257,-0.1085002506021938,-0.0605298790673563,-0.0484658761393932,-0.0350587685944423,-0.0302106617163229
17,2,0.1760922095714238,0.1938756034263432,0.0534713466320006,-0.0758276404826303,-0.1214851490452461,-0.0981318546083445,-0.0715480616909383,-0.0619321707085027
17,3,0.2475396670416498,0.2667217040881539,-0.0430310603437265,-0.1423672880604337,-0.1245984313012346,-0.0977218214805795,-0.0665169491549872,-0.0562623242001627
41,0,0.1666277877833112,0.182210948147901,-0.0836858795560699,-0.113291738059137,-0.0361323586379331,-0.0364061225952862,-0.0527746491197013,-0.0420084095668322
41,1,0.143546020519054,0.1672931224343888,-0.0519097147931749,-0.0998527958881067,-0.0352717525585777,-0.0304191172539913,-0.0605254098576668,-0.0483250474444445
41,2,0.1640073811488493,0.1842462743462454,0.0655588441808996,-0.0632920830107758,-0.0723003431974811,-0.0625785751438519,-0.1214578704736306,-0.0976680067065673
41,3,0.2339901581934874,0.2471820185753451,-0.0294795164046258,-0.1223025957985493,-0.066996754177322,-0.0564995127372748,-0.1246768480067596,-0.0975009420508082
76,0,0.1596995307934285,0.1585981317981962,-0.0767571088861965,-0.0837855706407803,-0.0321836082323403,-0.027356022614515,-0.0511509495956736,-0.0490573389279569
76,1,0.1379642093890244,0.146389982472821,-0.0463272782122816,-0.0741287493624747,-0.0223553383835309,-0.0182665882348473,-0.0607423745585131,-0.0557059233220438
76,2,0.1450348138343069,0.1549877966662494,0.08453754195286,-0.0193627311075974,-0.0589203701073789,-0.0495757995876935,-0.1189790178921472,-0.1081870325074644
76,3,0.2203218088684529,0.2073788587786155,-0.0158095578744598,-0.073776359790572,-0.0487007130609868,-0.0395246836205981,-0.1225493866369264,-0.108697088955774
166,0,-0.0807613770760002,-0.0879310000343206,0.1637222899918459,0.2836771144622532,-0.0514426134640714,-0.0493359247085194,-0.0320773280215721,-0.0269351804288275
166,1,-0.0678595631470112,-0.0653562773896669,0.1595185831668786,0.2551853819420049,-0.0607442138298462,-0.0557558313398027,-0.0221487466014357,-0.0181601038652675
166,2,-0.0416295667612149,-0.0615265063461646,0.2712544846499605,0.4856278044639763,-0.1191457887642929,-0.1082635511246683,-0.0583884398821215,-0.049470462320005
166,3,-0.0720303673456522,-0.116086986332349,0.2765755646656391,0.484424630087587,-0.1227311488162219,-0.1089553787951293,-0.047932820322881,-0.0390661714400959
126,0,0.1751021597690343,0.1973610486680476,-0.0921609053571256,-0.1261485788923877,-0.0527185489870122,-0.0422010987528977,-0.0357472025142057,-0.0362727054868336
126,1,0.1536234903086007,0.1771470709857215,-0.061988213699179,-0.1085492089363839,-0.060532139164387,-0.0484920079601585,-0.0349869134309359,-0.0301951926669118
126,2,0.1761402251309962,0.193949463857452,0.0534232444740357,-0.0759428327725391,-0.1214924100497241,-0.0981333066248642,-0.0712637521281028,-0.0619798036761731
126,3,0.2475434304192108,0.2667654389224677,-0.0430342913903639,-0.1424379700832267,-0.1246866139508361,-0.0976897195525242,-0.0663968858522254,-0.0563039606147151
