seed,scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
17,mech_evidence,1,452,0.0426774059030313,0.0683182003139695,245,0
17,no_mech_evidence,1,3210,0.0093745647395857,0.0157994000370402,2284,0
41,mech_evidence,1,452,0.0540116789255732,0.0784017657406323,206,0
41,no_mech_evidence,1,3210,0.0095202608228221,0.0135760157871605,2278,0
76,mech_evidence,1,452,0.1504814809567369,0.1797414579340868,2,0
76,no_mech_evidence,1,3210,0.0297283095488255,0.040755169012423,1943,0
166,mech_evidence,1,452,0.3940066162134166,0.1544187362805157,1,0
166,no_mech_evidence,1,3210,0.0578224654927432,0.0280276015265755,6,0
126,mech_evidence,1,452,0.0424533643138046,0.0679946570499593,245,0
126,no_mech_evidence,1,3210,0.0093591452791642,0.0158114605863016,2284,0
