seed,condition,transition,k_used,n_pairs,mean_posterior,std_posterior,min_count,max_count
17,evidence,silent_to_talk,3,452,0.385941945576826,0.4853884961994294,276,172
17,evidence,silent_to_silent,1,916,0.7665103486124996,0.2923268117251101,2,0
17,no_evidence,silent_to_talk,3,3210,0.295130106359584,0.4549841429634738,2252,930
17,no_evidence,silent_to_silent,1,6492,0.7467154135832302,0.3034202770232729,12,0
41,evidence,silent_to_talk,3,452,0.6121150687265546,0.4862336737955702,172,276
41,evidence,silent_to_silent,1,916,0.7520132164153632,0.2825336512999836,2,0
41,no_evidence,silent_to_talk,3,3210,0.7010944483944074,0.456544622036586,941,2241
41,no_evidence,silent_to_silent,1,6492,0.7334890910036959,0.2924421100799143,12,0
76,evidence,silent_to_talk,3,452,0.7553548423221047,0.4292491458095444,110,341
76,evidence,silent_to_silent,1,916,0.8083626751068117,0.2623125732986759,2,0
76,no_evidence,silent_to_talk,3,3210,0.8444905112213182,0.3617434909912507,496,2708
76,no_evidence,silent_to_silent,1,6492,0.7868134761934966,0.2766008663090725,12,0
166,evidence,silent_to_talk,3,452,0.2378718314974903,0.4251310886743722,344,107
166,evidence,silent_to_silent,1,916,0.4072349907171518,0.0773768316346397,2,0
166,no_evidence,silent_to_talk,3,3210,0.1536598038643239,0.3599713516180018,2713,490
166,no_evidence,silent_to_silent,1,6492,0.4025791469807619,0.079463955463374,12,0
126,evidence,silent_to_talk,3,452,0.3858117026697218,0.4850617369620388,276,172
126,evidence,silent_to_silent,1,916,0.7662969148233858,0.292439093947134,2,0
126,no_evidence,silent_to_talk,3,3210,0.2947925802383888,0.4545937261034067,2254,929
126,no_evidence,silent_to_silent,1,6492,0.7465343714880488,0.3034529001563848,12,0
