seed,entity,spearman_corr_next_p_k0_vs_prev_evidence_self,pearson_corr_next_p_k0_vs_prev_evidence_self,spearman_corr_next_p_k1_vs_prev_evidence_self,pearson_corr_next_p_k1_vs_prev_evidence_self,spearman_corr_next_p_k2_vs_prev_evidence_self,pearson_corr_next_p_k2_vs_prev_evidence_self,spearman_corr_next_p_k3_vs_prev_evidence_self,pearson_corr_next_p_k3_vs_prev_evidence_self
17,0,-0.109552588243258,-0.1573726861689336,0.1925148641406992,0.3225994105520532,-0.0511804160847356,-0.048644155615953,-0.033020038845876,-0.0279680123899159
17,1,-0.0900749770161719,-0.1299355883744361,0.1817353939620282,0.2952037602570169,-0.0606811676990422,-0.0554577421857554,-0.0231655166519267,-0.0187874243840962
17,2,-0.056207245671696,-0.1380006283148664,0.2858365670535395,0.4090519268766607,-0.1190736198967064,-0.1074195889148485,-0.0600823977680405,-0.0506132426256995
17,3,-0.1284660591553355,-0.2113706928453466,0.3330194674259883,0.4776514187583047,-0.1225031423679931,-0.1078705529972681,-0.04976032043273,-0.0409801589602549
41,0,0.1681429876657348,0.1815058422780188,-0.0852003582581154,-0.0925717656847531,-0.033020038845876,-0.0279780709908303,-0.0513289038463019,-0.0486372891740966
41,1,0.1498896189997464,0.1723561792017077,-0.0582550513541258,-0.0871479069517184,-0.0232650106474418,-0.0188961644686677,-0.0606793610806145,-0.0554051289288159
41,2,0.1649106363333299,0.1654345735604867,0.0646513232586766,-0.0211156188249906,-0.0601868635499792,-0.0506830954427945,-0.1191438967194371,-0.1074041101844206
41,3,0.2318644120561811,0.1999369702378403,-0.0273418440329349,-0.0547015525448338,-0.0497601029549134,-0.0407072974721643,-0.122512297161721,-0.1080242584879225
76,0,0.0102787365007964,0.0096423615871224,0.0726743549800689,0.0751951116230442,-0.0651137607305742,-0.0412690204232418,-0.0597357023843871,-0.0366786093042608
76,1,0.0322191864935416,0.0279331655632502,0.059428056766976,0.0601964236490966,-0.0609361283188461,-0.0386049373326165,-0.0643303795965481,-0.041421098810688
76,2,0.0344160680347501,0.0074538280573074,0.1951875811005294,0.2138135579296951,-0.1279724389212365,-0.0813516301480511,-0.1340993900850475,-0.0810195619312627
76,3,0.037219864152368,-0.0300246244077607,0.1673106217305735,0.2168557489530949,-0.1245360787135687,-0.075121456890219,-0.13137955604092,-0.0819512234683872
166,0,0.1681429876657348,0.1815058422780188,-0.0852003582581154,-0.0925717656847531,-0.033020038845876,-0.0279780709908303,-0.0513289038463019,-0.0486372891740966
166,1,0.1498896189997464,0.1723561792017077,-0.0582550513541258,-0.0871479069517184,-0.0232650106474418,-0.0188961644686677,-0.0606793610806145,-0.0554051289288159
166,2,0.1649106363333299,0.1654345735604867,0.0646513232586766,-0.0211156188249906,-0.0601868635499792,-0.0506830954427945,-0.1191438967194371,-0.1074041101844206
166,3,0.2318644120561811,0.1999369702378403,-0.0273418440329349,-0.0547015525448338,-0.0497601029549134,-0.0407072974721643,-0.122512297161721,-0.1080242584879225
126,0,-0.1095525793417254,-0.1573757184450688,0.1925157430459716,0.3225982079241981,-0.0511804160847356,-0.0486441557868386,-0.033020038845876,-0.0279680121078691
126,1,-0.0900759999211279,-0.1299393978464348,0.1817364169122233,0.2952038290192957,-0.0606811676990422,-0.0554577422965138,-0.0231655166519267,-0.0187874241237956
126,2,-0.0562025326182745,-0.1380052425001908,0.285833860548795,0.4090511872279274,-0.1190736198967064,-0.1074195889147259,-0.0600823977680405,-0.0506132426005954
126,3,-0.1284672014719277,-0.2113739566606711,0.3330164898612675,0.4776489640363569,-0.1225031423679931,-0.1078705531115333,-0.04976032043273,-0.0409801587472456
