seed,scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
17,mech_evidence,1,452,0.7957229510740896,0.158583224191274,1,0
17,no_mech_evidence,1,3210,0.4381779231247129,0.2239050476128678,6,0
41,mech_evidence,1,452,0.2126574100971848,0.2142599212641787,22,0
41,no_mech_evidence,1,3210,0.0948599864741804,0.1439889553616387,1507,0
76,mech_evidence,1,452,0.4299392904344518,0.1942767716126369,1,0
76,no_mech_evidence,1,3210,0.1655343403859858,0.1726875268919844,6,0
166,mech_evidence,1,452,0.2126574100971848,0.2142599212641787,22,0
166,no_mech_evidence,1,3210,0.0948599864741804,0.1439889553616387,1507,0
126,mech_evidence,1,452,0.7957354418735588,0.1585806134835717,1,0
126,no_mech_evidence,1,3210,0.4381955100507751,0.2239046664517178,6,0
