seed,condition,transition,k_used,n_pairs,mean_posterior,std_posterior,min_count,max_count
17,evidence,silent_to_talk,3,452,0.2554546241871023,0.435406891796591,336,114
17,evidence,silent_to_silent,1,916,0.3618858307274668,0.0380331980027927,2,0
17,no_evidence,silent_to_talk,3,3210,0.1632031985008881,0.3689190199012022,2683,521
17,no_evidence,silent_to_silent,1,6492,0.363427039889994,0.0383954263351024,12,0
41,evidence,silent_to_talk,3,452,0.7466070641551219,0.434320567115622,114,337
41,evidence,silent_to_silent,1,916,0.8463468714474851,0.214834088743891,2,0
41,no_evidence,silent_to_talk,3,3210,0.8367095850453203,0.3689982023467719,521,2683
41,no_evidence,silent_to_silent,1,6492,0.831778860393308,0.2251472326556216,12,0
76,evidence,silent_to_talk,3,452,0.521599102441578,0.4944531971510442,208,223
76,evidence,silent_to_silent,1,916,0.6330021661116567,0.1229630430680425,2,0
76,no_evidence,silent_to_talk,3,3210,0.5385767458849833,0.4954648516567941,1417,1688
76,no_evidence,silent_to_silent,1,6492,0.6261607882780788,0.1274576735240124,12,0
166,evidence,silent_to_talk,3,452,0.7466070641551219,0.434320567115622,114,337
166,evidence,silent_to_silent,1,916,0.8463468714474851,0.214834088743891,2,0
166,no_evidence,silent_to_talk,3,3210,0.8367095850453203,0.3689982023467719,521,2683
166,no_evidence,silent_to_silent,1,6492,0.831778860393308,0.2251472326556216,12,0
126,evidence,silent_to_talk,3,452,0.2554546263629356,0.4354068927114594,336,114
126,evidence,silent_to_silent,1,916,0.3618826147770777,0.0380367220358937,2,0
126,no_evidence,silent_to_talk,3,3210,0.1632031967647413,0.3689190184731301,2683,521
126,no_evidence,silent_to_silent,1,6492,0.3634240751648787,0.038399207417561,12,0
