seed,entity,spearman_corr_next_p_k0_vs_prev_evidence_self,pearson_corr_next_p_k0_vs_prev_evidence_self,spearman_corr_next_p_k1_vs_prev_evidence_self,pearson_corr_next_p_k1_vs_prev_evidence_self,spearman_corr_next_p_k2_vs_prev_evidence_self,pearson_corr_next_p_k2_vs_prev_evidence_self,spearman_corr_next_p_k3_vs_prev_evidence_self,pearson_corr_next_p_k3_vs_prev_evidence_self
17,0,-0.1193895879795449,-0.1249364261738198,0.2021245773251449,0.2548324268597101,-0.0595895175145861,-0.0500598296025311,-0.059635997180506,-0.0259320836337018
17,1,-0.0886629374704389,-0.1076654121239771,0.1805989069585325,0.2223206049296252,-0.06459905428134,-0.0564023074373174,-0.063741646523457,-0.0168263363687938
17,2,-0.0270366796257225,-0.0898083018827966,0.2569132022072594,0.2493820845013174,-0.1389358106290852,-0.1165514079712104,-0.1316496651466631,-0.0360881367715341
17,3,-0.1145911271233841,-0.1645059916577912,0.3191999077731157,0.3480157314063592,-0.1317410192949356,-0.1016777780209936,-0.1300956072586798,-0.0510090737735429
41,0,-0.1193895879795449,-0.1249364261738198,0.2021245773251449,0.2548324268597101,-0.0595895175145861,-0.0500598296025311,-0.059635997180506,-0.0259320836337018
41,1,-0.0886629374704389,-0.1076654121239771,0.1805989069585325,0.2223206049296252,-0.06459905428134,-0.0564023074373174,-0.063741646523457,-0.0168263363687938
41,2,-0.0270366796257225,-0.0898083018827966,0.2569132022072594,0.2493820845013174,-0.1389358106290852,-0.1165514079712104,-0.1316496651466631,-0.0360881367715341
41,3,-0.1145911271233841,-0.1645059916577912,0.3191999077731157,0.3480157314063592,-0.1317410192949356,-0.1016777780209936,-0.1300956072586798,-0.0510090737735429
76,0,-0.1193895879795449,-0.1249364261738198,0.2021245773251449,0.2548324268597101,-0.0595895175145861,-0.0500598296025311,-0.059635997180506,-0.0259320836337018
76,1,-0.0886629374704389,-0.1076654121239771,0.1805989069585325,0.2223206049296252,-0.06459905428134,-0.0564023074373174,-0.063741646523457,-0.0168263363687938
76,2,-0.0270366796257225,-0.0898083018827966,0.2569132022072594,0.2493820845013174,-0.1389358106290852,-0.1165514079712104,-0.1316496651466631,-0.0360881367715341
76,3,-0.1145911271233841,-0.1645059916577912,0.3191999077731157,0.3480157314063592,-0.1317410192949356,-0.1016777780209936,-0.1300956072586798,-0.0510090737735429
166,0,-0.1193895879795449,-0.1249364261738198,0.2021245773251449,0.2548324268597101,-0.0595895175145861,-0.0500598296025311,-0.059635997180506,-0.0259320836337018
166,1,-0.0886629374704389,-0.1076654121239771,0.1805989069585325,0.2223206049296252,-0.06459905428134,-0.0564023074373174,-0.063741646523457,-0.0168263363687938
166,2,-0.0270366796257225,-0.0898083018827966,0.2569132022072594,0.2493820845013174,-0.1389358106290852,-0.1165514079712104,-0.1316496651466631,-0.0360881367715341
166,3,-0.1145911271233841,-0.1645059916577912,0.3191999077731157,0.3480157314063592,-0.1317410192949356,-0.1016777780209936,-0.1300956072586798,-0.0510090737735429
126,0,-0.1193895879795449,-0.1249364261738198,0.2021245773251449,0.2548324268597101,-0.0595895175145861,-0.0500598296025311,-0.059635997180506,-0.0259320836337018
126,1,-0.0886629374704389,-0.1076654121239771,0.1805989069585325,0.2223206049296252,-0.06459905428134,-0.0564023074373174,-0.063741646523457,-0.0168263363687938
126,2,-0.0270366796257225,-0.0898083018827966,0.2569132022072594,0.2493820845013174,-0.1389358106290852,-0.1165514079712104,-0.1316496651466631,-0.0360881367715341
126,3,-0.1145911271233841,-0.1645059916577912,0.3191999077731157,0.3480157314063592,-0.1317410192949356,-0.1016777780209936,-0.1300956072586798,-0.0510090737735429
