seed,scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
17,mech_evidence,1,452,0.8317400151451605,0.2204379952290309,1,9
17,no_mech_evidence,1,3210,0.7609667317077192,0.261929695988674,6,35
41,mech_evidence,1,452,0.8317400151451605,0.2204379952290309,1,9
41,no_mech_evidence,1,3210,0.7609667317077192,0.261929695988674,6,35
76,mech_evidence,1,452,0.8317400151451605,0.2204379952290309,1,9
76,no_mech_evidence,1,3210,0.7609667317077192,0.261929695988674,6,35
166,mech_evidence,1,452,0.8317400151451605,0.2204379952290309,1,9
166,no_mech_evidence,1,3210,0.7609667317077192,0.261929695988674,6,35
126,mech_evidence,1,452,0.8317400151451605,0.2204379952290309,1,9
126,no_mech_evidence,1,3210,0.7609667317077192,0.261929695988674,6,35
