seed,condition,transition,k_used,n_pairs,mean_posterior,std_posterior,min_count,max_count
17,evidence,silent_to_talk,3,452,0.328393912578775,0.4684360573900434,301,144
17,evidence,silent_to_silent,1,916,0.0819057015265952,0.1805543537110792,553,0
17,no_evidence,silent_to_talk,3,3210,0.1413911448168576,0.3458985983651495,2727,439
17,no_evidence,silent_to_silent,1,6492,0.0919464221171289,0.1894153482008861,3759,0
41,evidence,silent_to_talk,3,452,0.328393912578775,0.4684360573900434,301,144
41,evidence,silent_to_silent,1,916,0.0819057015265952,0.1805543537110792,553,0
41,no_evidence,silent_to_talk,3,3210,0.1413911448168576,0.3458985983651495,2727,439
41,no_evidence,silent_to_silent,1,6492,0.0919464221171289,0.1894153482008861,3759,0
76,evidence,silent_to_talk,3,452,0.328393912578775,0.4684360573900434,301,144
76,evidence,silent_to_silent,1,916,0.0819057015265952,0.1805543537110792,553,0
76,no_evidence,silent_to_talk,3,3210,0.1413911448168576,0.3458985983651495,2727,439
76,no_evidence,silent_to_silent,1,6492,0.0919464221171289,0.1894153482008861,3759,0
166,evidence,silent_to_talk,3,452,0.328393912578775,0.4684360573900434,301,144
166,evidence,silent_to_silent,1,916,0.0819057015265952,0.1805543537110792,553,0
166,no_evidence,silent_to_talk,3,3210,0.1413911448168576,0.3458985983651495,2727,439
166,no_evidence,silent_to_silent,1,6492,0.0919464221171289,0.1894153482008861,3759,0
126,evidence,silent_to_talk,3,452,0.328393912578775,0.4684360573900434,301,144
126,evidence,silent_to_silent,1,916,0.0819057015265952,0.1805543537110792,553,0
126,no_evidence,silent_to_talk,3,3210,0.1413911448168576,0.3458985983651495,2727,439
126,no_evidence,silent_to_silent,1,6492,0.0919464221171289,0.1894153482008861,3759,0
