seed,entity,spearman_corr_next_p_k0_vs_prev_evidence_self,pearson_corr_next_p_k0_vs_prev_evidence_self,spearman_corr_next_p_k1_vs_prev_evidence_self,pearson_corr_next_p_k1_vs_prev_evidence_self,spearman_corr_next_p_k2_vs_prev_evidence_self,pearson_corr_next_p_k2_vs_prev_evidence_self,spearman_corr_next_p_k3_vs_prev_evidence_self,pearson_corr_next_p_k3_vs_prev_evidence_self
17,0,0.1640854366211917,0.059101318539499,-0.0821055588698877,0.0566289599817695,-0.0595456385970111,-0.0493751879149174,-0.0601776720333398,-0.0270593277933404
17,1,0.1246479804591263,0.0598369344215366,-0.0332465833142754,0.0596565383360686,-0.0645784334299335,-0.0558068501390073,-0.0641510386014692,-0.0180750868682203
17,2,0.2270353614936298,0.1311271257603621,0.0016946938853372,0.1237312726345454,-0.1388100617063572,-0.1147941829445337,-0.1327296246285927,-0.0391827245445475
17,3,0.2995604847339546,0.1225758792908748,-0.094587989306346,0.1168539280969239,-0.1316836480994207,-0.1000917126421771,-0.1305380716704097,-0.0532029688564594
41,0,0.1640854366211917,0.059101318539499,-0.0821055588698877,0.0566289599817695,-0.0595456385970111,-0.0493751879149174,-0.0601776720333398,-0.0270593277933404
41,1,0.1246479804591263,0.0598369344215366,-0.0332465833142754,0.0596565383360686,-0.0645784334299335,-0.0558068501390073,-0.0641510386014692,-0.0180750868682203
41,2,0.2270353614936298,0.1311271257603621,0.0016946938853372,0.1237312726345454,-0.1388100617063572,-0.1147941829445337,-0.1327296246285927,-0.0391827245445475
41,3,0.2995604847339546,0.1225758792908748,-0.094587989306346,0.1168539280969239,-0.1316836480994207,-0.1000917126421771,-0.1305380716704097,-0.0532029688564594
76,0,0.1640854366211917,0.059101318539499,-0.0821055588698877,0.0566289599817695,-0.0595456385970111,-0.0493751879149174,-0.0601776720333398,-0.0270593277933404
76,1,0.1246479804591263,0.0598369344215366,-0.0332465833142754,0.0596565383360686,-0.0645784334299335,-0.0558068501390073,-0.0641510386014692,-0.0180750868682203
76,2,0.2270353614936298,0.1311271257603621,0.0016946938853372,0.1237312726345454,-0.1388100617063572,-0.1147941829445337,-0.1327296246285927,-0.0391827245445475
76,3,0.2995604847339546,0.1225758792908748,-0.094587989306346,0.1168539280969239,-0.1316836480994207,-0.1000917126421771,-0.1305380716704097,-0.0532029688564594
166,0,0.1640854366211917,0.059101318539499,-0.0821055588698877,0.0566289599817695,-0.0595456385970111,-0.0493751879149174,-0.0601776720333398,-0.0270593277933404
166,1,0.1246479804591263,0.0598369344215366,-0.0332465833142754,0.0596565383360686,-0.0645784334299335,-0.0558068501390073,-0.0641510386014692,-0.0180750868682203
166,2,0.2270353614936298,0.1311271257603621,0.0016946938853372,0.1237312726345454,-0.1388100617063572,-0.1147941829445337,-0.1327296246285927,-0.0391827245445475
166,3,0.2995604847339546,0.1225758792908748,-0.094587989306346,0.1168539280969239,-0.1316836480994207,-0.1000917126421771,-0.1305380716704097,-0.0532029688564594
126,0,0.1640854366211917,0.059101318539499,-0.0821055588698877,0.0566289599817695,-0.0595456385970111,-0.0493751879149174,-0.0601776720333398,-0.0270593277933404
126,1,0.1246479804591263,0.0598369344215366,-0.0332465833142754,0.0596565383360686,-0.0645784334299335,-0.0558068501390073,-0.0641510386014692,-0.0180750868682203
126,2,0.2270353614936298,0.1311271257603621,0.0016946938853372,0.1237312726345454,-0.1388100617063572,-0.1147941829445337,-0.1327296246285927,-0.0391827245445475
126,3,0.2995604847339546,0.1225758792908748,-0.094587989306346,0.1168539280969239,-0.1316836480994207,-0.1000917126421771,-0.1305380716704097,-0.0532029688564594
