seed,scenario,k_target,n_events,mean_posterior_k,std_posterior_k,min_count,max_count
17,mech_evidence,1,452,0.4955421564193953,0.0237114384585406,1,0
17,no_mech_evidence,1,3210,0.5009098706215713,0.0218834868822686,6,0
41,mech_evidence,1,452,0.4955421564193953,0.0237114384585406,1,0
41,no_mech_evidence,1,3210,0.5009098706215713,0.0218834868822686,6,0
76,mech_evidence,1,452,0.4955421564193953,0.0237114384585406,1,0
76,no_mech_evidence,1,3210,0.5009098706215713,0.0218834868822686,6,0
166,mech_evidence,1,452,0.4955421564193953,0.0237114384585406,1,0
166,no_mech_evidence,1,3210,0.5009098706215713,0.0218834868822686,6,0
126,mech_evidence,1,452,0.4955421564193953,0.0237114384585406,1,0
126,no_mech_evidence,1,3210,0.5009098706215713,0.0218834868822686,6,0
