seed,condition,transition,k_used,n_pairs,mean_posterior,std_posterior,min_count,max_count
17,evidence,silent_to_talk,3,452,0.3335616229365806,0.4703401461921966,298,149
17,evidence,silent_to_silent,1,916,0.497743734593735,0.0233317885177734,2,0
17,no_evidence,silent_to_talk,3,3210,0.1592301463662311,0.3636753110580644,2678,496
17,no_evidence,silent_to_silent,1,6492,0.4981809526645175,0.0214808407021897,12,0
41,evidence,silent_to_talk,3,452,0.3335616229365806,0.4703401461921966,298,149
41,evidence,silent_to_silent,1,916,0.497743734593735,0.0233317885177734,2,0
41,no_evidence,silent_to_talk,3,3210,0.1592301463662311,0.3636753110580644,2678,496
41,no_evidence,silent_to_silent,1,6492,0.4981809526645175,0.0214808407021897,12,0
76,evidence,silent_to_talk,3,452,0.3335616229365806,0.4703401461921966,298,149
76,evidence,silent_to_silent,1,916,0.497743734593735,0.0233317885177734,2,0
76,no_evidence,silent_to_talk,3,3210,0.1592301463662311,0.3636753110580644,2678,496
76,no_evidence,silent_to_silent,1,6492,0.4981809526645175,0.0214808407021897,12,0
166,evidence,silent_to_talk,3,452,0.3335616229365806,0.4703401461921966,298,149
166,evidence,silent_to_silent,1,916,0.497743734593735,0.0233317885177734,2,0
166,no_evidence,silent_to_talk,3,3210,0.1592301463662311,0.3636753110580644,2678,496
166,no_evidence,silent_to_silent,1,6492,0.4981809526645175,0.0214808407021897,12,0
126,evidence,silent_to_talk,3,452,0.3335616229365806,0.4703401461921966,298,149
126,evidence,silent_to_silent,1,916,0.497743734593735,0.0233317885177734,2,0
126,no_evidence,silent_to_talk,3,3210,0.1592301463662311,0.3636753110580644,2678,496
126,no_evidence,silent_to_silent,1,6492,0.4981809526645175,0.0214808407021897,12,0
