iter,t,j,evidence_class,evidence_is_onehot
,0,0,0,True
,0,1,0,True
,0,2,0,True
,0,3,0,True
,1,0,0,True
,1,1,0,True
,1,2,0,True
,1,3,0,True
,2,0,0,True
,2,1,0,True
,2,2,0,True
,2,3,0,True
,3,0,0,True
,3,1,0,True
,3,2,0,True
,3,3,0,True
,4,0,0,True
,4,1,0,True
,4,2,0,True
,4,3,0,True
,5,0,0,True
,5,1,0,True
,5,2,0,True
,5,3,0,True
,6,0,0,True
,6,1,0,True
,6,2,0,True
,6,3,0,True
,7,0,0,True
,7,1,0,True
,7,2,0,True
,7,3,0,True
,8,0,0,True
,8,1,0,True
,8,2,0,True
,8,3,0,True
,9,0,0,True
,9,1,0,True
,9,2,0,True
,9,3,0,True
,10,0,0,True
,10,1,0,True
,10,2,0,True
,10,3,0,True
,11,0,0,True
,11,1,0,True
,11,2,0,True
,11,3,0,True
,12,0,0,True
,12,1,0,True
,12,2,0,True
,12,3,0,True
,13,0,2,True
,13,1,0,True
,13,2,0,True
,13,3,0,True
,14,0,0,True
,14,1,0,True
,14,2,0,True
,14,3,0,True
,15,0,0,True
,15,1,2,True
,15,2,0,True
,15,3,0,True
,16,0,2,True
,16,1,0,True
,16,2,0,True
,16,3,0,True
,17,0,0,True
,17,1,0,True
,17,2,0,True
,17,3,0,True
,18,0,0,True
,18,1,0,True
,18,2,0,True
,18,3,0,True
,19,0,0,True
,19,1,0,True
,19,2,0,True
,19,3,0,True
,20,0,0,True
,20,1,0,True
,20,2,0,True
,20,3,0,True
,21,0,0,True
,21,1,0,True
,21,2,0,True
,21,3,0,True
,22,0,0,True
,22,1,0,True
,22,2,0,True
,22,3,0,True
,23,0,0,True
,23,1,0,True
,23,2,0,True
,23,3,0,True
,24,0,0,True
,24,1,0,True
,24,2,0,True
,24,3,0,True
,25,0,0,True
,25,1,0,True
,25,2,0,True
,25,3,0,True
,26,0,0,True
,26,1,0,True
,26,2,0,True
,26,3,0,True
,27,0,0,True
,27,1,0,True
,27,2,0,True
,27,3,0,True
,28,0,0,True
,28,1,0,True
,28,2,0,True
,28,3,0,True
,29,0,0,True
,29,1,0,True
,29,2,0,True
,29,3,0,True
,30,0,0,True
,30,1,0,True
,30,2,0,True
,30,3,0,True
,31,0,0,True
,31,1,0,True
,31,2,0,True
,31,3,0,True
,32,0,0,True
,32,1,0,True
,32,2,0,True
,32,3,0,True
,33,0,0,True
,33,1,0,True
,33,2,0,True
,33,3,0,True
,34,0,0,True
,34,1,0,True
,34,2,0,True
,34,3,0,True
,35,0,0,True
,35,1,0,True
,35,2,0,True
,35,3,0,True
,36,0,0,True
,36,1,0,True
,36,2,0,True
,36,3,0,True
,37,0,0,True
,37,1,0,True
,37,2,0,True
,37,3,0,True
,38,0,0,True
,38,1,0,True
,38,2,0,True
,38,3,0,True
,39,0,0,True
,39,1,0,True
,39,2,0,True
,39,3,0,True
,40,0,0,True
,40,1,0,True
,40,2,0,True
,40,3,0,True
,41,0,0,True
,41,1,0,True
,41,2,0,True
,41,3,0,True
,42,0,0,True
,42,1,0,True
,42,2,0,True
,42,3,0,True
,43,0,0,True
,43,1,0,True
,43,2,0,True
,43,3,0,True
,44,0,0,True
,44,1,0,True
,44,2,0,True
,44,3,0,True
,45,0,1,True
,45,1,0,True
,45,2,0,True
,45,3,0,True
,46,0,0,True
,46,1,0,True
,46,2,0,True
,46,3,0,True
,47,0,0,True
,47,1,0,True
,47,2,0,True
,47,3,0,True
