transition_type,t_prev,t_curr,j,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,emiss_prev_json,emiss_curr_json,emiss_prev_argmax,emiss_curr_argmax,emiss_prev_maxprob,emiss_curr_maxprob
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.6310138907580328e-20]",0,2,0.5,1.0
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.6310138907580328e-20]",0,2,0.5,1.0
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 1.0, 1.0773908242177361e-24]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.6310138907580328e-20]",0,2,0.5,1.0
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 1.0, 1.0773908242177361e-24]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
talk_no_evidence_to_silent,1943,1944,2,False,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.1583043464308232e-23]",0,2,0.5,1.0
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.6310138907580328e-20]",0,2,0.5,1.0
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 1.0, 1.0773908242177361e-24]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
talk_no_evidence_to_silent,1943,1944,2,False,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.1583043464308232e-23]",0,2,0.5,1.0
silent_to_talk_with_evidence,847,848,3,True,False,0,2,"[0.0, 0.0, 1.0, 2.5513349433493033e-19]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
silent_to_silent,3140,3141,0,True,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.6310138907580328e-20]",0,2,0.5,1.0
silent_to_talk_no_evidence,2415,2416,2,True,False,0,0,"[0.0, 0.0, 1.0, 1.0773908242177361e-24]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
talk_no_evidence_to_silent,1943,1944,2,False,True,0,0,"[0.5, 0.5, 0.0, 0.0]","[0.0, 0.0, 1.0, 1.1583043464308232e-23]",0,2,0.5,1.0
silent_to_talk_with_evidence,847,848,3,True,False,0,2,"[0.0, 0.0, 1.0, 2.5513349433493033e-19]","[0.5, 0.5, 0.0, 0.0]",2,0,1.0,0.5
talk_with_evidence_to_silent,929,930,3,False,True,2,0,"[0.5, 0.5, 0.0, 0.0]","[0.5, 0.5, 0.0, 0.0]",0,0,0.5,0.5
