transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,1,4,True,True,0,0,"[[[0.7224109172821045, 0.037729375064373016, 0.21310634911060333, 0.02675333060324192], [0.2194949984550476, 0.02479841373860836, 0.638053834438324, 0.1176527738571167], [0.7059084177017212, 0.2719815671443939, 0.008244503289461136, 0.013865495100617409], [0.7531961798667908, 0.23242804408073425, 0.004189444240182638, 0.010186390019953251]]]",[0.7531961798667908],[3],[0]
silent_to_talk_no_evidence,2414,2415,3,1,4,True,False,0,0,"[[[0.7224109172821045, 0.037729375064373016, 0.21310634911060333, 0.02675333060324192], [0.2194949984550476, 0.02479841373860836, 0.638053834438324, 0.1176527738571167], [0.7059084177017212, 0.2719815671443939, 0.008244503289461136, 0.013865495100617409], [0.7531961798667908, 0.23242804408073425, 0.004189444240182638, 0.010186390019953251]]]",[0.7531961798667908],[3],[0]
talk_no_evidence_to_silent,1943,1944,2,1,4,False,True,0,0,"[[[0.7224109172821045, 0.037729375064373016, 0.21310634911060333, 0.02675333060324192], [0.2194949984550476, 0.02479841373860836, 0.638053834438324, 0.1176527738571167], [0.7059084177017212, 0.2719815671443939, 0.008244503289461136, 0.013865495100617409], [0.7531961798667908, 0.23242804408073425, 0.004189444240182638, 0.010186390019953251]]]",[0.7531961798667908],[3],[0]
silent_to_talk_with_evidence,847,848,3,1,4,True,False,0,2,"[[[0.7224109172821045, 0.037729375064373016, 0.21310634911060333, 0.02675333060324192], [0.2194949984550476, 0.02479841373860836, 0.638053834438324, 0.1176527738571167], [0.7059084177017212, 0.2719815671443939, 0.008244503289461136, 0.013865495100617409], [0.7531961798667908, 0.23242804408073425, 0.004189444240182638, 0.010186390019953251]]]",[0.7531961798667908],[3],[0]
talk_with_evidence_to_silent,929,930,3,1,4,False,True,2,0,"[[[0.5116283297538757, 0.19744174182415009, 0.15092690289020538, 0.14000293612480164], [0.11491110920906067, 0.09592906385660172, 0.33403709530830383, 0.455122709274292], [0.2497648000717163, 0.7110682725906372, 0.0029170745983719826, 0.03624992072582245], [0.29536208510398865, 0.6734791398048401, 0.0016428695525974035, 0.029515892267227173]]]",[0.7110682725906372],[2],[1]
silent_to_silent,3139,3140,0,1,4,True,True,0,0,"[[[0.7225640416145325, 0.03757143393158913, 0.2130890190601349, 0.026775510981678963], [0.2193036824464798, 0.024790076538920403, 0.6383575201034546, 0.11754869669675827], [0.7058397531509399, 0.2720472514629364, 0.008244381286203861, 0.01386863924562931], [0.7530200481414795, 0.23259887099266052, 0.004185856785625219, 0.010195285081863403]]]",[0.7530200481414795],[3],[0]
silent_to_talk_no_evidence,2414,2415,3,1,4,True,False,0,0,"[[[0.7225640416145325, 0.03757143393158913, 0.2130890190601349, 0.026775510981678963], [0.2193036824464798, 0.024790076538920403, 0.6383575201034546, 0.11754869669675827], [0.7058397531509399, 0.2720472514629364, 0.008244381286203861, 0.01386863924562931], [0.7530200481414795, 0.23259887099266052, 0.004185856785625219, 0.010195285081863403]]]",[0.7530200481414795],[3],[0]
talk_no_evidence_to_silent,1943,1944,2,1,4,False,True,0,0,"[[[0.7225640416145325, 0.03757143393158913, 0.2130890190601349, 0.026775510981678963], [0.2193036824464798, 0.024790076538920403, 0.6383575201034546, 0.11754869669675827], [0.7058397531509399, 0.2720472514629364, 0.008244381286203861, 0.01386863924562931], [0.7530200481414795, 0.23259887099266052, 0.004185856785625219, 0.010195285081863403]]]",[0.7530200481414795],[3],[0]
silent_to_talk_with_evidence,847,848,3,1,4,True,False,0,2,"[[[0.7225640416145325, 0.03757143393158913, 0.2130890190601349, 0.026775510981678963], [0.2193036824464798, 0.024790076538920403, 0.6383575201034546, 0.11754869669675827], [0.7058397531509399, 0.2720472514629364, 0.008244381286203861, 0.01386863924562931], [0.7530200481414795, 0.23259887099266052, 0.004185856785625219, 0.010195285081863403]]]",[0.7530200481414795],[3],[0]
talk_with_evidence_to_silent,929,930,3,1,4,False,True,2,0,"[[[0.5120514035224915, 0.19673608243465424, 0.15100741386413574, 0.14020514488220215], [0.11485413461923599, 0.09593288600444794, 0.3343217968940735, 0.454891175031662], [0.2497016191482544, 0.7111293077468872, 0.0029165754094719887, 0.03625250607728958], [0.29516011476516724, 0.673670768737793, 0.001640724134631455, 0.029528381302952766]]]",[0.7111293077468872],[2],[1]
