transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.547694742679596, 0.09793121367692947, 0.2968232035636902, 0.05755085125565529], [0.5464316010475159, 0.10412421822547913, 0.28951138257980347, 0.059932809323072433], [0.649116039276123, 0.08920523524284363, 0.21154649555683136, 0.050132229924201965], [0.6143848299980164, 0.09887370467185974, 0.23174168169498444, 0.054999761283397675]], [[0.09311780333518982, 0.4329141676425934, 0.0929214134812355, 0.3810465931892395], [0.08623428642749786, 0.47395724058151245, 0.08638831228017807, 0.3534201383590698], [0.1214652732014656, 0.34454652667045593, 0.0376548208296299, 0.49633339047431946], [0.09228008985519409, 0.5012518763542175, 0.029966147616505623, 0.3765018582344055]]]","[0.649116039276123, 0.5012518763542175]","[2, 3]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.547694742679596, 0.09793121367692947, 0.2968232035636902, 0.05755085125565529], [0.5464316010475159, 0.10412421822547913, 0.28951138257980347, 0.059932809323072433], [0.649116039276123, 0.08920523524284363, 0.21154649555683136, 0.050132229924201965], [0.6143848299980164, 0.09887370467185974, 0.23174168169498444, 0.054999761283397675]], [[0.09311780333518982, 0.4329141676425934, 0.0929214134812355, 0.3810465931892395], [0.08623428642749786, 0.47395724058151245, 0.08638831228017807, 0.3534201383590698], [0.1214652732014656, 0.34454652667045593, 0.0376548208296299, 0.49633339047431946], [0.09228008985519409, 0.5012518763542175, 0.029966147616505623, 0.3765018582344055]]]","[0.649116039276123, 0.5012518763542175]","[2, 3]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.547694742679596, 0.09793121367692947, 0.2968232035636902, 0.05755085125565529], [0.5464316010475159, 0.10412421822547913, 0.28951138257980347, 0.059932809323072433], [0.649116039276123, 0.08920523524284363, 0.21154649555683136, 0.050132229924201965], [0.6143848299980164, 0.09887370467185974, 0.23174168169498444, 0.054999761283397675]], [[0.09311780333518982, 0.4329141676425934, 0.0929214134812355, 0.3810465931892395], [0.08623428642749786, 0.47395724058151245, 0.08638831228017807, 0.3534201383590698], [0.1214652732014656, 0.34454652667045593, 0.0376548208296299, 0.49633339047431946], [0.09228008985519409, 0.5012518763542175, 0.029966147616505623, 0.3765018582344055]]]","[0.649116039276123, 0.5012518763542175]","[2, 3]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.547694742679596, 0.09793121367692947, 0.2968232035636902, 0.05755085125565529], [0.5464316010475159, 0.10412421822547913, 0.28951138257980347, 0.059932809323072433], [0.649116039276123, 0.08920523524284363, 0.21154649555683136, 0.050132229924201965], [0.6143848299980164, 0.09887370467185974, 0.23174168169498444, 0.054999761283397675]], [[0.09311780333518982, 0.4329141676425934, 0.0929214134812355, 0.3810465931892395], [0.08623428642749786, 0.47395724058151245, 0.08638831228017807, 0.3534201383590698], [0.1214652732014656, 0.34454652667045593, 0.0376548208296299, 0.49633339047431946], [0.09228008985519409, 0.5012518763542175, 0.029966147616505623, 0.3765018582344055]]]","[0.649116039276123, 0.5012518763542175]","[2, 3]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.2747563123703003, 0.3630105257034302, 0.1489042043685913, 0.21332894265651703], [0.2667902112007141, 0.3756425678730011, 0.14135126769542694, 0.21621593832969666], [0.34340500831604004, 0.3487093150615692, 0.1119154617190361, 0.19597026705741882], [0.3098093569278717, 0.36840352416038513, 0.11685793846845627, 0.2049291729927063]], [[0.027097204700112343, 0.9308562278747559, 0.027040056884288788, 0.015006553381681442], [0.023165380582213402, 0.9407790899276733, 0.023206762969493866, 0.01284877397119999], [0.04381602257490158, 0.9183700680732727, 0.013583182357251644, 0.02423066645860672], [0.023802056908607483, 0.9553259015083313, 0.007729251869022846, 0.01314269844442606]]]","[0.3756425678730011, 0.9553259015083313]","[1, 3]","[1, 1]"
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5476605892181396, 0.09792882949113846, 0.29686036705970764, 0.05755018815398216], [0.5464386343955994, 0.10412520915269852, 0.2895030677318573, 0.05993309244513512], [0.6491162180900574, 0.08920513093471527, 0.2115464061498642, 0.050132207572460175], [0.61521977186203, 0.09865785390138626, 0.2312428206205368, 0.054879579693078995]], [[0.0931171104311943, 0.43291813135147095, 0.09292086213827133, 0.3810439109802246], [0.08623336255550385, 0.4739626348018646, 0.08638747036457062, 0.35341647267341614], [0.12146618962287903, 0.3445416986942291, 0.03765508905053139, 0.49633702635765076], [0.09229610115289688, 0.5011647939682007, 0.0299709290266037, 0.37656816840171814]]]","[0.6491162180900574, 0.5011647939682007]","[2, 3]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5476605892181396, 0.09792882949113846, 0.29686036705970764, 0.05755018815398216], [0.5464386343955994, 0.10412520915269852, 0.2895030677318573, 0.05993309244513512], [0.6491162180900574, 0.08920513093471527, 0.2115464061498642, 0.050132207572460175], [0.61521977186203, 0.09865785390138626, 0.2312428206205368, 0.054879579693078995]], [[0.0931171104311943, 0.43291813135147095, 0.09292086213827133, 0.3810439109802246], [0.08623336255550385, 0.4739626348018646, 0.08638747036457062, 0.35341647267341614], [0.12146618962287903, 0.3445416986942291, 0.03765508905053139, 0.49633702635765076], [0.09229610115289688, 0.5011647939682007, 0.0299709290266037, 0.37656816840171814]]]","[0.6491162180900574, 0.5011647939682007]","[2, 3]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5476605892181396, 0.09792882949113846, 0.29686036705970764, 0.05755018815398216], [0.5464386343955994, 0.10412520915269852, 0.2895030677318573, 0.05993309244513512], [0.6491162180900574, 0.08920513093471527, 0.2115464061498642, 0.050132207572460175], [0.61521977186203, 0.09865785390138626, 0.2312428206205368, 0.054879579693078995]], [[0.0931171104311943, 0.43291813135147095, 0.09292086213827133, 0.3810439109802246], [0.08623336255550385, 0.4739626348018646, 0.08638747036457062, 0.35341647267341614], [0.12146618962287903, 0.3445416986942291, 0.03765508905053139, 0.49633702635765076], [0.09229610115289688, 0.5011647939682007, 0.0299709290266037, 0.37656816840171814]]]","[0.6491162180900574, 0.5011647939682007]","[2, 3]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5476605892181396, 0.09792882949113846, 0.29686036705970764, 0.05755018815398216], [0.5464386343955994, 0.10412520915269852, 0.2895030677318573, 0.05993309244513512], [0.6491162180900574, 0.08920513093471527, 0.2115464061498642, 0.050132207572460175], [0.61521977186203, 0.09865785390138626, 0.2312428206205368, 0.054879579693078995]], [[0.0931171104311943, 0.43291813135147095, 0.09292086213827133, 0.3810439109802246], [0.08623336255550385, 0.4739626348018646, 0.08638747036457062, 0.35341647267341614], [0.12146618962287903, 0.3445416986942291, 0.03765508905053139, 0.49633702635765076], [0.09229610115289688, 0.5011647939682007, 0.0299709290266037, 0.37656816840171814]]]","[0.6491162180900574, 0.5011647939682007]","[2, 3]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.27474185824394226, 0.36300522089004517, 0.14892429113388062, 0.21332858502864838], [0.26679256558418274, 0.37564459443092346, 0.14134664833545685, 0.21621611714363098], [0.34340524673461914, 0.3487090766429901, 0.1119154617190361, 0.1959703117609024], [0.31056660413742065, 0.3679977059364319, 0.11673276126384735, 0.2047029733657837]], [[0.027096785604953766, 0.9308571219444275, 0.027039678767323494, 0.015006325207650661], [0.02316489815711975, 0.9407803416252136, 0.023206297308206558, 0.01284851599484682], [0.04381689801812172, 0.9183684587478638, 0.013583443127572536, 0.024231143295764923], [0.02380996011197567, 0.9553112387657166, 0.0077317096292972565, 0.013147097080945969]]]","[0.37564459443092346, 0.9553112387657166]","[1, 3]","[1, 1]"
