iter,t,j,argmax_state,max_prob
,0,0,2,0.6268224
,0,1,0,1.0
,0,2,0,1.0
,0,3,0,1.0
,1,0,0,0.6522282
,1,1,2,1.0
,1,2,0,0.77687746
,1,3,0,0.7753988
,2,0,0,0.76483536
,2,1,0,0.81964135
,2,2,0,0.7677376
,2,3,2,1.0
,3,0,0,0.767285
,3,1,0,0.7705443
,3,2,2,1.0
,3,3,0,0.8197089
,4,0,2,1.0
,4,1,0,0.76162934
,4,2,0,0.8129876
,4,3,0,0.77293414
,5,0,1,0.74955183
,5,1,2,1.0
,5,2,1,0.83642477
,5,3,1,0.5101919
,6,0,0,0.73908406
,6,1,0,0.81986123
,6,2,3,1.0
,6,3,0,0.757482
,7,0,2,1.0
,7,1,0,0.5000656
,7,2,1,0.9732292
,7,3,1,0.5002984
,8,0,0,0.607636
,8,1,2,1.0
,8,2,0,0.74355584
,8,3,0,0.75983584
,9,0,3,1.0
,9,1,1,0.7488839
,9,2,1,0.5137304
,9,3,1,0.52613485
,10,0,1,0.99457586
,10,1,1,0.5274244
,10,2,1,0.51743585
,10,3,2,1.0
,11,0,3,1.0
,11,1,0,0.7572315
,11,2,0,0.7492626
,11,3,0,0.81993264
,12,0,1,0.98601747
,12,1,0,0.54956245
,12,2,2,1.0
,12,3,0,0.552872
,13,0,3,1.0
,13,1,0,0.7499383
,13,2,0,0.81225085
,13,3,0,0.76052564
,14,0,1,0.97528297
,14,1,1,0.8367476
,14,2,2,1.0
,14,3,1,0.5103133
,15,0,1,0.5043408
,15,1,3,1.0
,15,2,0,0.8188884
,15,3,0,0.7546497
,16,0,3,0.96288204
,16,1,1,0.97546333
,16,2,1,0.5084114
,16,3,1,0.5111442
,17,0,1,0.9652228
,17,1,2,1.0
,17,2,1,0.518678
,17,3,1,0.51665336
,18,0,0,0.7422911
,18,1,0,0.8191344
,18,2,2,1.0
,18,3,0,0.7561556
,19,0,0,0.76961684
,19,1,0,0.7635994
,19,2,0,0.8214356
,19,3,2,0.9990133
,20,0,1,0.519022
,20,1,2,1.0
,20,2,0,0.5012045
,20,3,1,0.74791527
,21,0,1,0.6164606
,21,1,0,0.8176034
,21,2,0,0.7548551
,21,3,2,1.0
,22,0,3,1.0
,22,1,0,0.76037806
,22,2,0,0.76621056
,22,3,0,0.819502
,23,0,1,0.9860346
,23,1,2,1.0
,23,2,0,0.5514312
,23,3,0,0.5538153
,24,0,3,0.9999999
,24,1,0,0.6071689
,24,2,0,0.7613977
,24,3,0,0.761482
,25,0,1,0.97563636
,25,1,3,1.0
,25,2,1,0.5128762
,25,3,1,0.51287234
,26,0,2,1.0
,26,1,1,0.97388333
,26,2,1,0.5168175
,26,3,1,0.5168146
,27,0,0,0.8179612
,27,1,2,1.0
,27,2,0,0.75789696
,27,3,0,0.7579545
,28,0,2,1.0
,28,1,0,0.81964594
,28,2,0,0.76705754
,28,3,0,0.7686323
,29,0,0,0.818321
,29,1,0,0.7707178
,29,2,2,1.0
,29,3,0,0.76896626
,30,0,2,1.0
,30,1,0,0.7675149
,30,2,0,0.8196012
,30,3,0,0.7690225
,31,0,0,0.81959414
,31,1,2,1.0
,31,2,0,0.76923674
,31,3,0,0.7690072
,32,0,0,0.76923656
,32,1,0,0.81959325
,32,2,2,1.0
,32,3,0,0.76900786
,33,0,2,1.0
,33,1,0,0.7691969
,33,2,0,0.8196493
,33,3,0,0.7690264
,34,0,1,0.5215901
,34,1,2,1.0
,34,2,0,0.7692884
,34,3,0,0.7678231
,35,0,3,1.0
,35,1,0,0.81954294
,35,2,0,0.7570355
,35,3,0,0.76641756
,36,0,1,0.97351015
,36,1,0,0.5019801
,36,2,2,1.0
,36,3,1,0.50037175
,37,0,2,1.0
,37,1,0,0.75862616
,37,2,0,0.81796235
,37,3,0,0.7585407
,38,0,0,0.818328
,38,1,0,0.768629
,38,2,2,1.0
,38,3,0,0.76857036
,39,0,2,1.0
,39,1,0,0.7690087
,39,2,0,0.81964767
,39,3,0,0.76743746
,40,0,0,0.818321
,40,1,0,0.768924
,40,2,0,0.7707733
,40,3,2,1.0
,41,0,2,1.0
,41,1,0,0.7674496
,41,2,0,0.7690858
,41,3,0,0.8196476
,42,0,0,0.81831956
,42,1,2,1.0
,42,2,0,0.76897085
,42,3,0,0.77077305
,43,0,2,1.0
,43,1,0,0.8182946
,43,2,0,0.7686966
,43,3,0,0.769079
,44,0,1,0.5193538
,44,1,2,1.0
,44,2,0,0.7588082
,44,3,0,0.7678221
,45,0,3,1.0
,45,1,0,0.81789273
,45,2,0,0.507788
,45,3,0,0.7624388
,46,0,1,0.9362074
,46,1,0,0.516561
,46,2,3,1.0
,46,3,0,0.51417434
,47,0,2,1.0
,47,1,0,0.7581073
,47,2,1,0.62880856
,47,3,0,0.7596934
,48,0,1,0.52155113
,48,1,2,1.0
,48,2,0,0.7537581
,48,3,0,0.76755494
,49,0,3,1.0
,49,1,0,0.8117211
,49,2,0,0.7659238
,49,3,0,0.7664126
,50,0,1,0.9734996
,50,1,2,1.0
,50,2,1,0.50028056
,50,3,1,0.5003373
,51,0,2,1.0
,51,1,0,0.8192414
,51,2,0,0.7585801
,51,3,0,0.75696224
,52,0,0,0.81963927
,52,1,0,0.76922077
,52,2,0,0.7685786
,52,3,2,1.0
,53,0,0,0.77080196
,53,1,2,1.0
,53,2,0,0.7674164
,53,3,0,0.81926036
,54,0,0,0.76899934
,54,1,0,0.8182095
,54,2,2,1.0
,54,3,0,0.75781757
,55,0,0,0.7658467
,55,1,2,1.0
,55,2,0,0.81843466
,55,3,1,0.6011385
,56,0,0,0.76530975
,56,1,0,0.60497785
,56,2,0,0.76760036
,56,3,3,1.0
,57,0,1,0.52569115
,57,1,3,1.0
,57,2,1,0.5124379
,57,3,1,0.9743907
,58,0,2,1.0
,58,1,1,0.994543
,58,2,1,0.5171469
,58,3,1,0.54932433
,59,0,0,0.81883615
,59,1,3,1.0
,59,2,0,0.7551334
,59,3,0,0.508686
,60,0,1,0.522372
,60,1,1,0.9743003
,60,2,1,0.51191974
,60,3,3,1.0
,61,0,2,1.0
,61,1,1,0.54680705
,61,2,1,0.5133074
,61,3,1,0.9732975
,62,0,1,0.7486333
,62,1,2,1.0
,62,2,1,0.5165923
,62,3,1,0.5368441
,63,0,2,1.0
,63,1,0,0.819303
,63,2,0,0.75642353
,63,3,0,0.75732625
,64,0,0,0.81831944
,64,1,0,0.77070194
,64,2,2,1.0
,64,3,0,0.76856214
,65,0,2,1.0
,65,1,0,0.767513
,65,2,0,0.81964594
,65,3,0,0.769008
,66,0,0,0.818321
,66,1,2,1.0
,66,2,0,0.7707178
,66,3,0,0.7689797
,67,0,2,1.0
,67,1,0,0.8196498
,67,2,0,0.7675134
,67,3,0,0.7690254
,68,0,0,0.818319
,68,1,0,0.7708503
,68,2,2,1.0
,68,3,0,0.76905525
,69,0,2,1.0
,69,1,0,0.77120316
,69,2,0,0.81367916
,69,3,0,0.77107227
,70,0,1,0.7454964
,70,1,1,0.5001341
,70,2,2,1.0
,70,3,1,0.5023077
,71,0,0,0.7499501
,71,1,0,0.7570967
,71,2,0,0.81895816
,71,3,2,1.0
,72,0,0,0.76657236
,72,1,2,1.0
,72,2,0,0.7578066
,72,3,0,0.81964517
,73,0,2,1.0
,73,1,0,0.8183999
,73,2,1,0.6019326
,73,3,0,0.76761234
,74,0,0,0.81192654
,74,1,0,0.7687157
,74,2,3,1.0
,74,3,0,0.7669094
,75,0,2,1.0
,75,1,1,0.50016254
,75,2,1,0.9735003
,75,3,1,0.5002426
,76,0,0,0.81796235
,76,1,0,0.7585514
,76,2,2,1.0
,76,3,0,0.7585481
,77,0,2,1.0
,77,1,0,0.7686417
,77,2,0,0.8182969
,77,3,0,0.76862514
,78,0,1,0.5221301
,78,1,0,0.7677353
,78,2,2,1.0
,78,3,0,0.7672699
,79,0,3,1.0
,79,1,0,0.7650983
,79,2,0,0.81805503
,79,3,0,0.75198114
,80,0,2,1.0
,80,1,0,0.77189726
,80,2,0,0.7737587
,80,3,1,0.59376866
,81,0,0,0.81191
,81,1,0,0.76705307
,81,2,0,0.76713127
,81,3,3,1.0
,82,0,2,1.0
,82,1,1,0.5012538
,82,2,1,0.5008698
,82,3,1,0.9944885
,83,0,0,0.607361
,83,1,0,0.74964434
,83,2,0,0.75752157
,83,3,3,1.0
,84,0,3,1.0
,84,1,1,0.7605633
,84,2,1,0.516557
,84,3,1,0.9746613
,85,0,1,0.97543746
,85,1,3,1.0
,85,2,1,0.52280504
,85,3,1,0.54304415
,86,0,2,1.0
,86,1,1,0.9736333
,86,2,1,0.5176909
,86,3,1,0.52019024
,87,0,0,0.8179048
,87,1,0,0.7418358
,87,2,0,0.7446224
,87,3,2,1.0
,88,0,2,1.0
,88,1,0,0.76486284
,88,2,1,0.602502
,88,3,0,0.8184122
,89,0,0,0.81193554
,89,1,0,0.76674503
,89,2,3,1.0
,89,3,0,0.768723
,90,0,2,1.0
,90,1,1,0.50221777
,90,2,1,0.97323155
,90,3,0,0.50019073
,91,0,1,0.5221998
,91,1,2,1.0
,91,2,0,0.7405126
,91,3,0,0.7570195
,92,0,3,1.0
,92,1,0,0.8195411
,92,2,0,0.76545954
,92,3,0,0.75657594
,93,0,1,0.9945061
,93,1,0,0.5008689
,93,2,1,0.50105745
,93,3,2,1.0
,94,0,3,1.0
,94,1,0,0.7489637
,94,2,0,0.7585351
,94,3,0,0.8202119
,95,0,1,0.9735448
,95,1,2,1.0
,95,2,1,0.50076187
,95,3,0,0.50202435
,96,0,2,0.9981797
,96,1,0,0.8192884
,96,2,0,0.7569377
,96,3,0,0.7581891
,97,0,0,0.8173904
,97,1,0,0.7707035
,97,2,2,1.0
,97,3,0,0.75557667
,98,0,2,1.0
,98,1,0,0.7656379
,98,2,0,0.81843406
,98,3,1,0.60106575
,99,0,0,0.5980169
,99,1,0,0.7573589
,99,2,0,0.76717114
,99,3,3,1.0
,100,0,3,1.0
,100,1,1,0.7450257
,100,2,0,0.50439584
,100,3,1,0.93549514
,101,0,1,0.9741331
,101,1,3,0.9999988
,101,2,1,0.5217395
,101,3,1,0.55428505
,102,0,1,0.53466225
,102,1,1,0.9914344
,102,2,1,0.5146625
,102,3,2,1.0
,103,0,0,0.5139438
,103,1,3,1.0
,103,2,0,0.5149449
,103,3,1,0.55739063
,104,0,1,0.5171088
,104,1,1,0.97534084
,104,2,1,0.51459426
,104,3,2,1.0
,105,0,2,1.0
,105,1,1,0.63554925
,105,2,0,0.7544121
,105,3,0,0.810747
,106,0,0,0.81867087
,106,1,3,1.0
,106,2,0,0.7631464
,106,3,0,0.5244229
,107,0,1,0.50944376
,107,1,1,0.97428185
,107,2,1,0.52497673
,107,3,3,1.0
,108,0,1,0.51593184
,108,1,1,0.538638
,108,2,2,1.0
,108,3,1,0.973578
,109,0,0,0.7565529
,109,1,2,1.0
,109,2,0,0.8194105
,109,3,0,0.74200284
,110,0,2,1.0
,110,1,0,0.82148486
,110,2,0,0.7730034
,110,3,0,0.7698657
,111,0,3,1.0
,111,1,0,0.51640946
,111,2,0,0.514275
,111,3,0,0.50098646
,112,0,1,0.99457216
,112,1,1,0.51595485
,112,2,1,0.51558334
,112,3,2,1.0
,113,0,3,1.0
,113,1,0,0.7483543
,113,2,0,0.7580164
,113,3,0,0.82015026
,114,0,1,0.97324294
,114,1,2,1.0
,114,2,1,0.50035846
,114,3,0,0.50014514
,115,0,0,0.74142945
,115,1,0,0.81802344
,115,2,0,0.7587049
,115,3,2,1.0
,116,0,0,0.75495225
,116,1,2,1.0
,116,2,0,0.7685898
,116,3,0,0.8182174
,117,0,1,0.602026
,117,1,0,0.8184115
,117,2,0,0.7658186
,117,3,2,1.0
,118,0,3,1.0
,118,1,0,0.76871467
,118,2,0,0.7668467
,118,3,0,0.8119273
,119,0,1,0.97349894
,119,1,1,0.50022846
,119,2,1,0.5002288
,119,3,2,1.0
,120,0,2,1.0
,120,1,0,0.7569636
,120,2,0,0.75866187
,120,3,0,0.81907827
,121,0,0,0.82143086
,121,1,2,1.0
,121,2,0,0.7706831
,121,3,0,0.7636228
,122,0,0,0.5020644
,122,1,1,0.7455921
,122,2,1,0.502428
,122,3,2,1.0
,123,0,0,0.7587855
,123,1,0,0.7483495
,123,2,2,1.0
,123,3,0,0.819342
,124,0,0,0.7683462
,124,1,2,1.0
,124,2,0,0.81760246
,124,3,0,0.77083725
,125,0,0,0.76143175
,125,1,0,0.82157207
,125,2,2,0.9979089
,125,3,0,0.771299
,126,0,2,1.0
,126,1,1,0.5189991
,126,2,1,0.8898441
,126,3,1,0.52344465
,127,0,0,0.81799775
,127,1,0,0.7579135
,127,2,0,0.7444948
,127,3,2,1.0
,128,0,2,1.0
,128,1,0,0.7669509
,128,2,0,0.75971425
,128,3,0,0.8197193
,129,0,0,0.82084435
,129,1,2,1.0
,129,2,0,0.52950937
,129,3,0,0.7712474
,130,0,1,0.50935316
,130,1,1,0.75869876
,130,2,3,1.0
,130,3,1,0.5115185
,131,0,1,0.5340181
,131,1,2,1.0
,131,2,1,0.9980557
,131,3,1,0.5337389
,132,0,0,0.7486597
,132,1,0,0.61044014
,132,2,3,1.0
,132,3,0,0.7564626
,133,0,1,0.7659673
,133,1,3,1.0
,133,2,1,0.99065906
,133,3,1,0.5241272
,134,0,3,0.9999999
,134,1,1,0.99099237
,134,2,1,0.54359776
,134,3,1,0.52305996
,135,0,1,0.99097216
,135,1,3,0.9999989
,135,2,1,0.5345285
,135,3,1,0.5336295
,136,0,2,1.0
,136,1,1,0.994587
,136,2,1,0.51850986
,136,3,1,0.5184701
,137,0,0,0.8124093
,137,1,3,1.0
,137,2,0,0.75791174
