transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.5512998104095459, 0.12504024803638458, 0.30102071166038513, 0.022639242932200432], [0.522323489189148, 0.137502983212471, 0.2666608989238739, 0.07351266592741013], [0.8563435077667236, 0.1300332397222519, 0.009070223197340965, 0.00455300509929657], [0.6110929250717163, 0.3444194197654724, 0.02485341578722, 0.01963423378765583]], [[0.14912444353103638, 0.5187878012657166, 0.26680853962898254, 0.06527921557426453], [0.14383529126644135, 0.5164345502853394, 0.2590547502040863, 0.08067537844181061], [0.3173799514770508, 0.5789782404899597, 0.0009872838854789734, 0.1026545837521553], [0.1386629194021225, 0.821384608745575, 0.00024164360365830362, 0.03971080482006073]]]","[0.8563435077667236, 0.821384608745575]","[2, 3]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.5512998104095459, 0.12504024803638458, 0.30102071166038513, 0.022639242932200432], [0.522323489189148, 0.137502983212471, 0.2666608989238739, 0.07351266592741013], [0.8563435077667236, 0.1300332397222519, 0.009070223197340965, 0.00455300509929657], [0.6110929250717163, 0.3444194197654724, 0.02485341578722, 0.01963423378765583]], [[0.14912444353103638, 0.5187878012657166, 0.26680853962898254, 0.06527921557426453], [0.14383529126644135, 0.5164345502853394, 0.2590547502040863, 0.08067537844181061], [0.3173799514770508, 0.5789782404899597, 0.0009872838854789734, 0.1026545837521553], [0.1386629194021225, 0.821384608745575, 0.00024164360365830362, 0.03971080482006073]]]","[0.8563435077667236, 0.821384608745575]","[2, 3]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.5512998104095459, 0.12504024803638458, 0.30102071166038513, 0.022639242932200432], [0.522323489189148, 0.137502983212471, 0.2666608989238739, 0.07351266592741013], [0.8563435077667236, 0.1300332397222519, 0.009070223197340965, 0.00455300509929657], [0.6110929250717163, 0.3444194197654724, 0.02485341578722, 0.01963423378765583]], [[0.14912444353103638, 0.5187878012657166, 0.26680853962898254, 0.06527921557426453], [0.14383529126644135, 0.5164345502853394, 0.2590547502040863, 0.08067537844181061], [0.3173799514770508, 0.5789782404899597, 0.0009872838854789734, 0.1026545837521553], [0.1386629194021225, 0.821384608745575, 0.00024164360365830362, 0.03971080482006073]]]","[0.8563435077667236, 0.821384608745575]","[2, 3]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.5512998104095459, 0.12504024803638458, 0.30102071166038513, 0.022639242932200432], [0.522323489189148, 0.137502983212471, 0.2666608989238739, 0.07351266592741013], [0.8563435077667236, 0.1300332397222519, 0.009070223197340965, 0.00455300509929657], [0.6110929250717163, 0.3444194197654724, 0.02485341578722, 0.01963423378765583]], [[0.14912444353103638, 0.5187878012657166, 0.26680853962898254, 0.06527921557426453], [0.14383529126644135, 0.5164345502853394, 0.2590547502040863, 0.08067537844181061], [0.3173799514770508, 0.5789782404899597, 0.0009872838854789734, 0.1026545837521553], [0.1386629194021225, 0.821384608745575, 0.00024164360365830362, 0.03971080482006073]]]","[0.8563435077667236, 0.821384608745575]","[2, 3]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.2836586534976959, 0.4753866493701935, 0.15488331019878387, 0.0860714241862297], [0.2224365770816803, 0.4326808750629425, 0.11356014013290405, 0.23132242262363434], [0.4604296386241913, 0.5166050791740417, 0.0048767817206680775, 0.01808849535882473], [0.18373434245586395, 0.765173077583313, 0.007472557481378317, 0.0436200276017189]], [[0.03502120077610016, 0.9002453088760376, 0.06265877932310104, 0.0020747624803334475], [0.03400544822216034, 0.902167797088623, 0.06124556064605713, 0.002581280656158924], [0.06884056329727173, 0.9279319643974304, 0.00021414454386103898, 0.003013381501659751], [0.02231626585125923, 0.9767798781394958, 3.88898333767429e-05, 0.0008649296360090375]]]","[0.765173077583313, 0.9767798781394958]","[3, 3]","[1, 1]"
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.551313042640686, 0.12503200769424438, 0.30101966857910156, 0.022635335102677345], [0.5223141312599182, 0.1375039666891098, 0.2666720747947693, 0.0735098347067833], [0.8563417196273804, 0.1300347000360489, 0.00907062366604805, 0.004552982747554779], [0.6111376285552979, 0.34442368149757385, 0.024823373183608055, 0.0196154173463583]], [[0.14914114773273468, 0.518665611743927, 0.2668951749801636, 0.06529801338911057], [0.14383158087730408, 0.5164785981178284, 0.25902125239372253, 0.08066859096288681], [0.3171903192996979, 0.579288899898529, 0.000980969867669046, 0.10253980755805969], [0.13876795768737793, 0.8212937116622925, 0.0002414943155599758, 0.03969676420092583]]]","[0.8563417196273804, 0.8212937116622925]","[2, 3]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.551313042640686, 0.12503200769424438, 0.30101966857910156, 0.022635335102677345], [0.5223141312599182, 0.1375039666891098, 0.2666720747947693, 0.0735098347067833], [0.8563417196273804, 0.1300347000360489, 0.00907062366604805, 0.004552982747554779], [0.6111376285552979, 0.34442368149757385, 0.024823373183608055, 0.0196154173463583]], [[0.14914114773273468, 0.518665611743927, 0.2668951749801636, 0.06529801338911057], [0.14383158087730408, 0.5164785981178284, 0.25902125239372253, 0.08066859096288681], [0.3171903192996979, 0.579288899898529, 0.000980969867669046, 0.10253980755805969], [0.13876795768737793, 0.8212937116622925, 0.0002414943155599758, 0.03969676420092583]]]","[0.8563417196273804, 0.8212937116622925]","[2, 3]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.551313042640686, 0.12503200769424438, 0.30101966857910156, 0.022635335102677345], [0.5223141312599182, 0.1375039666891098, 0.2666720747947693, 0.0735098347067833], [0.8563417196273804, 0.1300347000360489, 0.00907062366604805, 0.004552982747554779], [0.6111376285552979, 0.34442368149757385, 0.024823373183608055, 0.0196154173463583]], [[0.14914114773273468, 0.518665611743927, 0.2668951749801636, 0.06529801338911057], [0.14383158087730408, 0.5164785981178284, 0.25902125239372253, 0.08066859096288681], [0.3171903192996979, 0.579288899898529, 0.000980969867669046, 0.10253980755805969], [0.13876795768737793, 0.8212937116622925, 0.0002414943155599758, 0.03969676420092583]]]","[0.8563417196273804, 0.8212937116622925]","[2, 3]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.551313042640686, 0.12503200769424438, 0.30101966857910156, 0.022635335102677345], [0.5223141312599182, 0.1375039666891098, 0.2666720747947693, 0.0735098347067833], [0.8563417196273804, 0.1300347000360489, 0.00907062366604805, 0.004552982747554779], [0.6111376285552979, 0.34442368149757385, 0.024823373183608055, 0.0196154173463583]], [[0.14914114773273468, 0.518665611743927, 0.2668951749801636, 0.06529801338911057], [0.14383158087730408, 0.5164785981178284, 0.25902125239372253, 0.08066859096288681], [0.3171903192996979, 0.579288899898529, 0.000980969867669046, 0.10253980755805969], [0.13876795768737793, 0.8212937116622925, 0.0002414943155599758, 0.03969676420092583]]]","[0.8563417196273804, 0.8212937116622925]","[2, 3]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.28367674350738525, 0.475374311208725, 0.15488892793655396, 0.08606001734733582], [0.2224336862564087, 0.43268612027168274, 0.11356548219919205, 0.23131470382213593], [0.4604264199733734, 0.5166082382202148, 0.004876974504441023, 0.01808832213282585], [0.1837528944015503, 0.7652038931846619, 0.007463731337338686, 0.043579455465078354]], [[0.035031672567129135, 0.9002017378807068, 0.06269083172082901, 0.0020757464226335287], [0.034002259373664856, 0.9021834135055542, 0.06123349443078041, 0.002580887172371149], [0.06876833736896515, 0.9280104041099548, 0.00021267907868605107, 0.003008653875440359], [0.022335216403007507, 0.9767612218856812, 3.886940248776227e-05, 0.0008647028007544577]]]","[0.7652038931846619, 0.9767612218856812]","[3, 3]","[1, 1]"
