transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.4320056438446045, 0.07140175253152847, 0.43198320269584656, 0.06460944563150406], [0.4320036470890045, 0.07140183448791504, 0.43198490142822266, 0.06460963189601898], [0.4697340428829193, 0.06665688008069992, 0.40329447388648987, 0.060314640402793884], [0.48112285137176514, 0.06522496044635773, 0.3946334421634674, 0.05901874229311943]], [[0.06829378753900528, 0.4132916033267975, 0.06179671734571457, 0.45661792159080505], [0.06829456984996796, 0.41328027844429016, 0.06180141121149063, 0.4566236734390259], [0.06580162048339844, 0.4403696358203888, 0.05388008803129196, 0.4399486482143402], [0.06293924152851105, 0.46471449732780457, 0.051538098603487015, 0.42080822587013245]]]","[0.48112285137176514, 0.46471449732780457]","[3, 3]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.4320056438446045, 0.07140175253152847, 0.43198320269584656, 0.06460944563150406], [0.4320036470890045, 0.07140183448791504, 0.43198490142822266, 0.06460963189601898], [0.4697340428829193, 0.06665688008069992, 0.40329447388648987, 0.060314640402793884], [0.48112285137176514, 0.06522496044635773, 0.3946334421634674, 0.05901874229311943]], [[0.06829378753900528, 0.4132916033267975, 0.06179671734571457, 0.45661792159080505], [0.06829456984996796, 0.41328027844429016, 0.06180141121149063, 0.4566236734390259], [0.06580162048339844, 0.4403696358203888, 0.05388008803129196, 0.4399486482143402], [0.06293924152851105, 0.46471449732780457, 0.051538098603487015, 0.42080822587013245]]]","[0.48112285137176514, 0.46471449732780457]","[3, 3]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.4320056438446045, 0.07140175253152847, 0.43198320269584656, 0.06460944563150406], [0.4320036470890045, 0.07140183448791504, 0.43198490142822266, 0.06460963189601898], [0.4697340428829193, 0.06665688008069992, 0.40329447388648987, 0.060314640402793884], [0.48112285137176514, 0.06522496044635773, 0.3946334421634674, 0.05901874229311943]], [[0.06829378753900528, 0.4132916033267975, 0.06179671734571457, 0.45661792159080505], [0.06829456984996796, 0.41328027844429016, 0.06180141121149063, 0.4566236734390259], [0.06580162048339844, 0.4403696358203888, 0.05388008803129196, 0.4399486482143402], [0.06293924152851105, 0.46471449732780457, 0.051538098603487015, 0.42080822587013245]]]","[0.48112285137176514, 0.46471449732780457]","[3, 3]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.4320056438446045, 0.07140175253152847, 0.43198320269584656, 0.06460944563150406], [0.4320036470890045, 0.07140183448791504, 0.43198490142822266, 0.06460963189601898], [0.4697340428829193, 0.06665688008069992, 0.40329447388648987, 0.060314640402793884], [0.48112285137176514, 0.06522496044635773, 0.3946334421634674, 0.05901874229311943]], [[0.06829378753900528, 0.4132916033267975, 0.06179671734571457, 0.45661792159080505], [0.06829456984996796, 0.41328027844429016, 0.06180141121149063, 0.4566236734390259], [0.06580162048339844, 0.4403696358203888, 0.05388008803129196, 0.4399486482143402], [0.06293924152851105, 0.46471449732780457, 0.051538098603487015, 0.42080822587013245]]]","[0.48112285137176514, 0.46471449732780457]","[3, 3]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.2311447560787201, 0.2822880446910858, 0.23113274574279785, 0.25543448328971863], [0.23114347457885742, 0.2822881042957306, 0.23113344609737396, 0.2554349899291992], [0.2593455910682678, 0.2719322741031647, 0.2226635366678238, 0.2460586279630661], [0.2682143449783325, 0.26867595314979553, 0.2199985831975937, 0.24311114847660065]], [[0.02104116976261139, 0.9408800601959229, 0.019039439037442207, 0.019039375707507133], [0.021041911095380783, 0.9408766627311707, 0.019041335210204124, 0.01904006488621235], [0.0191666092723608, 0.9477963447570801, 0.01569412089884281, 0.01734289899468422], [0.017457762733101845, 0.9524503350257874, 0.014295380562543869, 0.01579655520617962]]]","[0.2822881042957306, 0.9524503350257874]","[1, 3]","[1, 1]"
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.43200552463531494, 0.07140175253152847, 0.43198326230049133, 0.06460943073034286], [0.43200361728668213, 0.07140181958675385, 0.43198496103286743, 0.0646096020936966], [0.4709206819534302, 0.06650762259960175, 0.40239208936691284, 0.060179565101861954], [0.4811222553253174, 0.0652250424027443, 0.3946338891983032, 0.05901879817247391]], [[0.06829375773668289, 0.4132915735244751, 0.06179698184132576, 0.45661771297454834], [0.06829452514648438, 0.4132798910140991, 0.06180211156606674, 0.4566234350204468], [0.06579888612031937, 0.44039273262023926, 0.05387790873646736, 0.4399304687976837], [0.06293913722038269, 0.46471527218818665, 0.05153803899884224, 0.42080751061439514]]]","[0.4811222553253174, 0.46471527218818665]","[3, 3]","[0, 1]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.43200552463531494, 0.07140175253152847, 0.43198326230049133, 0.06460943073034286], [0.43200361728668213, 0.07140181958675385, 0.43198496103286743, 0.0646096020936966], [0.4709206819534302, 0.06650762259960175, 0.40239208936691284, 0.060179565101861954], [0.4811222553253174, 0.0652250424027443, 0.3946338891983032, 0.05901879817247391]], [[0.06829375773668289, 0.4132915735244751, 0.06179698184132576, 0.45661771297454834], [0.06829452514648438, 0.4132798910140991, 0.06180211156606674, 0.4566234350204468], [0.06579888612031937, 0.44039273262023926, 0.05387790873646736, 0.4399304687976837], [0.06293913722038269, 0.46471527218818665, 0.05153803899884224, 0.42080751061439514]]]","[0.4811222553253174, 0.46471527218818665]","[3, 3]","[0, 1]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.43200552463531494, 0.07140175253152847, 0.43198326230049133, 0.06460943073034286], [0.43200361728668213, 0.07140181958675385, 0.43198496103286743, 0.0646096020936966], [0.4709206819534302, 0.06650762259960175, 0.40239208936691284, 0.060179565101861954], [0.4811222553253174, 0.0652250424027443, 0.3946338891983032, 0.05901879817247391]], [[0.06829375773668289, 0.4132915735244751, 0.06179698184132576, 0.45661771297454834], [0.06829452514648438, 0.4132798910140991, 0.06180211156606674, 0.4566234350204468], [0.06579888612031937, 0.44039273262023926, 0.05387790873646736, 0.4399304687976837], [0.06293913722038269, 0.46471527218818665, 0.05153803899884224, 0.42080751061439514]]]","[0.4811222553253174, 0.46471527218818665]","[3, 3]","[0, 1]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.43200552463531494, 0.07140175253152847, 0.43198326230049133, 0.06460943073034286], [0.43200361728668213, 0.07140181958675385, 0.43198496103286743, 0.0646096020936966], [0.4709206819534302, 0.06650762259960175, 0.40239208936691284, 0.060179565101861954], [0.4811222553253174, 0.0652250424027443, 0.3946338891983032, 0.05901879817247391]], [[0.06829375773668289, 0.4132915735244751, 0.06179698184132576, 0.45661771297454834], [0.06829452514648438, 0.4132798910140991, 0.06180211156606674, 0.4566234350204468], [0.06579888612031937, 0.44039273262023926, 0.05387790873646736, 0.4399304687976837], [0.06293913722038269, 0.46471527218818665, 0.05153803899884224, 0.42080751061439514]]]","[0.4811222553253174, 0.46471527218818665]","[3, 3]","[0, 1]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.23114469647407532, 0.2822880148887634, 0.23113279044628143, 0.25543448328971863], [0.23114345967769623, 0.2822880744934082, 0.23113347589969635, 0.25543496012687683], [0.26026177406311035, 0.2715957760810852, 0.2223883718252182, 0.24575404822826385], [0.2682138681411743, 0.26867616176605225, 0.21999871730804443, 0.2431112378835678]], [[0.021041162312030792, 0.9408799409866333, 0.019039517268538475, 0.019039368256926537], [0.02104191668331623, 0.9408764839172363, 0.01904156431555748, 0.019040074199438095], [0.019164899364113808, 0.9478010535240173, 0.01569274067878723, 0.017341362312436104], [0.017457716166973114, 0.9524503946304321, 0.014295341446995735, 0.015796512365341187]]]","[0.2822880744934082, 0.9524503946304321]","[1, 3]","[1, 1]"
