transition_type,t_prev,t_curr,j,L,K,is_silent_prev,is_silent_curr,evid_class_prev,evid_class_curr,trans_probs_json,per_l_global_maxprob_json,per_l_global_argmax_prev_json,per_l_global_argmax_next_json
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.33514416217803955, 0.3346075117588043, 0.28027182817459106, 0.049976468086242676], [0.33469879627227783, 0.3340853750705719, 0.28172358870506287, 0.049492280930280685], [0.4911680221557617, 0.4917127788066864, 0.006669790018349886, 0.010449510999023914], [0.4940462112426758, 0.4936738908290863, 0.0017653867835178971, 0.010514462366700172]], [[0.33514416217803955, 0.3346075117588043, 0.28027182817459106, 0.049976468086242676], [0.33469879627227783, 0.3340853750705719, 0.28172358870506287, 0.049492280930280685], [0.4911680221557617, 0.4917127788066864, 0.006669790018349886, 0.010449510999023914], [0.4940462112426758, 0.4936738908290863, 0.0017653867835178971, 0.010514462366700172]]]","[0.4940462112426758, 0.4940462112426758]","[3, 3]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.33514416217803955, 0.3346075117588043, 0.28027182817459106, 0.049976468086242676], [0.33469879627227783, 0.3340853750705719, 0.28172358870506287, 0.049492280930280685], [0.4911680221557617, 0.4917127788066864, 0.006669790018349886, 0.010449510999023914], [0.4940462112426758, 0.4936738908290863, 0.0017653867835178971, 0.010514462366700172]], [[0.33514416217803955, 0.3346075117588043, 0.28027182817459106, 0.049976468086242676], [0.33469879627227783, 0.3340853750705719, 0.28172358870506287, 0.049492280930280685], [0.4911680221557617, 0.4917127788066864, 0.006669790018349886, 0.010449510999023914], [0.4940462112426758, 0.4936738908290863, 0.0017653867835178971, 0.010514462366700172]]]","[0.4940462112426758, 0.4940462112426758]","[3, 3]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.33514416217803955, 0.3346075117588043, 0.28027182817459106, 0.049976468086242676], [0.33469879627227783, 0.3340853750705719, 0.28172358870506287, 0.049492280930280685], [0.4911680221557617, 0.4917127788066864, 0.006669790018349886, 0.010449510999023914], [0.4940462112426758, 0.4936738908290863, 0.0017653867835178971, 0.010514462366700172]], [[0.33514416217803955, 0.3346075117588043, 0.28027182817459106, 0.049976468086242676], [0.33469879627227783, 0.3340853750705719, 0.28172358870506287, 0.049492280930280685], [0.4911680221557617, 0.4917127788066864, 0.006669790018349886, 0.010449510999023914], [0.4940462112426758, 0.4936738908290863, 0.0017653867835178971, 0.010514462366700172]]]","[0.4940462112426758, 0.4940462112426758]","[3, 3]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.33514416217803955, 0.3346075117588043, 0.28027182817459106, 0.049976468086242676], [0.33469879627227783, 0.3340853750705719, 0.28172358870506287, 0.049492280930280685], [0.4911680221557617, 0.4917127788066864, 0.006669790018349886, 0.010449510999023914], [0.4940462112426758, 0.4936738908290863, 0.0017653867835178971, 0.010514462366700172]], [[0.33514416217803955, 0.3346075117588043, 0.28027182817459106, 0.049976468086242676], [0.33469879627227783, 0.3340853750705719, 0.28172358870506287, 0.049492280930280685], [0.4911680221557617, 0.4917127788066864, 0.006669790018349886, 0.010449510999023914], [0.4940462112426758, 0.4936738908290863, 0.0017653867835178971, 0.010514462366700172]]]","[0.4940462112426758, 0.4940462112426758]","[3, 3]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.33514416217803955, 0.3346075117588043, 0.28027182817459106, 0.049976468086242676], [0.33469879627227783, 0.3340853750705719, 0.28172358870506287, 0.049492280930280685], [0.4911680221557617, 0.4917127788066864, 0.006669790018349886, 0.010449510999023914], [0.4940462112426758, 0.4936738908290863, 0.0017653867835178971, 0.010514462366700172]], [[0.33514416217803955, 0.3346075117588043, 0.28027182817459106, 0.049976468086242676], [0.33469879627227783, 0.3340853750705719, 0.28172358870506287, 0.049492280930280685], [0.4911680221557617, 0.4917127788066864, 0.006669790018349886, 0.010449510999023914], [0.4940462112426758, 0.4936738908290863, 0.0017653867835178971, 0.010514462366700172]]]","[0.4940462112426758, 0.4940462112426758]","[3, 3]","[0, 0]"
silent_to_silent,3139,3140,0,2,4,True,True,0,0,"[[[0.3347831964492798, 0.3346306383609772, 0.28055229783058167, 0.050033845007419586], [0.3346741497516632, 0.3343810737133026, 0.2815625071525574, 0.0493822880089283], [0.4913012981414795, 0.4915808439254761, 0.006668477784842253, 0.010449429973959923], [0.4941656291484833, 0.4935557246208191, 0.0017641790909692645, 0.010514472611248493]], [[0.3347831964492798, 0.3346306383609772, 0.28055229783058167, 0.050033845007419586], [0.3346741497516632, 0.3343810737133026, 0.2815625071525574, 0.0493822880089283], [0.4913012981414795, 0.4915808439254761, 0.006668477784842253, 0.010449429973959923], [0.4941656291484833, 0.4935557246208191, 0.0017641790909692645, 0.010514472611248493]]]","[0.4941656291484833, 0.4941656291484833]","[3, 3]","[0, 0]"
silent_to_talk_no_evidence,2414,2415,3,2,4,True,False,0,0,"[[[0.3347831964492798, 0.3346306383609772, 0.28055229783058167, 0.050033845007419586], [0.3346741497516632, 0.3343810737133026, 0.2815625071525574, 0.0493822880089283], [0.4913012981414795, 0.4915808439254761, 0.006668477784842253, 0.010449429973959923], [0.4941656291484833, 0.4935557246208191, 0.0017641790909692645, 0.010514472611248493]], [[0.3347831964492798, 0.3346306383609772, 0.28055229783058167, 0.050033845007419586], [0.3346741497516632, 0.3343810737133026, 0.2815625071525574, 0.0493822880089283], [0.4913012981414795, 0.4915808439254761, 0.006668477784842253, 0.010449429973959923], [0.4941656291484833, 0.4935557246208191, 0.0017641790909692645, 0.010514472611248493]]]","[0.4941656291484833, 0.4941656291484833]","[3, 3]","[0, 0]"
talk_no_evidence_to_silent,1943,1944,2,2,4,False,True,0,0,"[[[0.3347831964492798, 0.3346306383609772, 0.28055229783058167, 0.050033845007419586], [0.3346741497516632, 0.3343810737133026, 0.2815625071525574, 0.0493822880089283], [0.4913012981414795, 0.4915808439254761, 0.006668477784842253, 0.010449429973959923], [0.4941656291484833, 0.4935557246208191, 0.0017641790909692645, 0.010514472611248493]], [[0.3347831964492798, 0.3346306383609772, 0.28055229783058167, 0.050033845007419586], [0.3346741497516632, 0.3343810737133026, 0.2815625071525574, 0.0493822880089283], [0.4913012981414795, 0.4915808439254761, 0.006668477784842253, 0.010449429973959923], [0.4941656291484833, 0.4935557246208191, 0.0017641790909692645, 0.010514472611248493]]]","[0.4941656291484833, 0.4941656291484833]","[3, 3]","[0, 0]"
silent_to_talk_with_evidence,847,848,3,2,4,True,False,0,2,"[[[0.3347831964492798, 0.3346306383609772, 0.28055229783058167, 0.050033845007419586], [0.3346741497516632, 0.3343810737133026, 0.2815625071525574, 0.0493822880089283], [0.4913012981414795, 0.4915808439254761, 0.006668477784842253, 0.010449429973959923], [0.4941656291484833, 0.4935557246208191, 0.0017641790909692645, 0.010514472611248493]], [[0.3347831964492798, 0.3346306383609772, 0.28055229783058167, 0.050033845007419586], [0.3346741497516632, 0.3343810737133026, 0.2815625071525574, 0.0493822880089283], [0.4913012981414795, 0.4915808439254761, 0.006668477784842253, 0.010449429973959923], [0.4941656291484833, 0.4935557246208191, 0.0017641790909692645, 0.010514472611248493]]]","[0.4941656291484833, 0.4941656291484833]","[3, 3]","[0, 0]"
talk_with_evidence_to_silent,929,930,3,2,4,False,True,2,0,"[[[0.3347831964492798, 0.3346306383609772, 0.28055229783058167, 0.050033845007419586], [0.3346741497516632, 0.3343810737133026, 0.2815625071525574, 0.0493822880089283], [0.4913012981414795, 0.4915808439254761, 0.006668477784842253, 0.010449429973959923], [0.4941656291484833, 0.4935557246208191, 0.0017641790909692645, 0.010514472611248493]], [[0.3347831964492798, 0.3346306383609772, 0.28055229783058167, 0.050033845007419586], [0.3346741497516632, 0.3343810737133026, 0.2815625071525574, 0.0493822880089283], [0.4913012981414795, 0.4915808439254761, 0.006668477784842253, 0.010449429973959923], [0.4941656291484833, 0.4935557246208191, 0.0017641790909692645, 0.010514472611248493]]]","[0.4941656291484833, 0.4941656291484833]","[3, 3]","[0, 0]"
