iter,t,j,argmax_state,max_prob
,0,0,2,0.50633234
,0,1,0,1.0
,0,2,0,1.0
,0,3,0,1.0
,1,0,0,0.76860607
,1,1,2,1.0
,1,2,0,0.7351881
,1,3,0,0.8877421
,2,0,0,0.7180013
,2,1,0,0.9077909
,2,2,0,0.87682027
,2,3,2,1.0
,3,0,0,0.87602895
,3,1,0,0.7292766
,3,2,2,1.0
,3,3,0,0.90731174
,4,0,2,1.0
,4,1,0,0.8761836
,4,2,0,0.8990298
,4,3,0,0.7152311
,5,0,0,0.91361755
,5,1,2,1.0
,5,2,1,0.5286066
,5,3,0,0.6993363
,6,0,0,0.88299537
,6,1,0,0.91293067
,6,2,3,1.0
,6,3,0,0.69416964
,7,0,2,1.0
,7,1,0,0.88457066
,7,2,0,0.6265989
,7,3,0,0.69849336
,8,0,0,0.7776678
,8,1,2,1.0
,8,2,0,0.69280297
,8,3,0,0.71360135
,9,0,3,1.0
,9,1,0,0.90717083
,9,2,0,0.6945624
,9,3,0,0.8733657
,10,0,1,0.62683666
,10,1,0,0.71518457
,10,2,0,0.7123123
,10,3,2,1.0
,11,0,3,1.0
,11,1,0,0.69632363
,11,2,0,0.873833
,11,3,0,0.90734756
,12,0,1,0.6264378
,12,1,0,0.69907105
,12,2,2,1.0
,12,3,0,0.71840006
,13,0,3,1.0
,13,1,0,0.7102811
,13,2,0,0.94714963
,13,3,0,0.733374
,14,0,1,0.8868072
,14,1,1,0.6738224
,14,2,2,1.0
,14,3,0,0.57885414
,15,0,0,0.5002893
,15,1,3,1.0
,15,2,0,0.92563146
,15,3,0,0.72570187
,16,0,3,0.99280584
,16,1,1,0.83348197
,16,2,0,0.6427929
,16,3,0,0.5978213
,17,0,1,0.88988113
,17,1,2,1.0
,17,2,0,0.77409375
,17,3,0,0.54732126
,18,0,0,0.6456343
,18,1,0,0.9130011
,18,2,2,1.0
,18,3,0,0.86621076
,19,0,0,0.6929779
,19,1,0,0.8845775
,19,2,0,0.9073121
,19,3,2,0.99794966
,20,0,0,0.6958325
,20,1,2,1.0
,20,2,0,0.71471924
,20,3,0,0.9674269
,21,0,0,0.68567723
,21,1,0,0.9131619
,21,2,0,0.6990137
,21,3,2,1.0
,22,0,2,0.55504537
,22,1,0,0.8845737
,22,2,0,0.69753367
,22,3,0,0.90732145
,23,0,0,0.9093714
,23,1,2,1.0
,23,2,0,0.6974118
,23,3,0,0.7149293
,24,0,2,0.9999988
,24,1,0,0.77800333
,24,2,0,0.6987806
,24,3,0,0.7002312
,25,0,0,0.96758485
,25,1,3,1.0
,25,2,0,0.69293493
,25,3,0,0.6929537
,26,0,2,1.0
,26,1,0,0.8368821
,26,2,0,0.6984393
,26,3,0,0.6972067
,27,0,0,0.96769834
,27,1,2,1.0
,27,2,0,0.7120657
,27,3,0,0.69718665
,28,0,2,1.0
,28,1,0,0.9078223
,28,2,0,0.87577957
,28,3,0,0.69759125
,29,0,0,0.96769726
,29,1,0,0.72907203
,29,2,2,1.0
,29,3,0,0.6971877
,30,0,2,1.0
,30,1,0,0.8766067
,30,2,0,0.9131557
,30,3,0,0.69753844
,31,0,0,0.91314477
,31,1,2,1.0
,31,2,0,0.88468236
,31,3,0,0.69740313
,32,0,0,0.88468033
,32,1,0,0.9131415
,32,2,2,1.0
,32,3,0,0.6974148
,33,0,2,1.0
,33,1,0,0.8845431
,33,2,0,0.9078842
,33,3,0,0.6976066
,34,0,0,0.77764356
,34,1,2,1.0
,34,2,0,0.7304778
,34,3,0,0.698448
,35,0,3,1.0
,35,1,0,0.9070343
,35,2,0,0.8744897
,35,3,0,0.69346166
,36,0,0,0.8367626
,36,1,0,0.71492594
,36,2,2,1.0
,36,3,0,0.6971977
,37,0,2,1.0
,37,1,0,0.6986886
,37,2,0,0.96767765
,37,3,0,0.6984329
,38,0,0,0.96770257
,38,1,0,0.697565
,38,2,2,1.0
,38,3,0,0.71221244
,39,0,2,1.0
,39,1,0,0.6988602
,39,2,0,0.9073279
,39,3,0,0.87578815
,40,0,0,0.9676967
,40,1,0,0.7120753
,40,2,0,0.71471465
,40,3,2,1.0
,41,0,2,1.0
,41,1,0,0.8757673
,41,2,0,0.6990537
,41,3,0,0.90733325
,42,0,0,0.9676733
,42,1,2,1.0
,42,2,0,0.6972853
,42,3,0,0.7147908
,43,0,2,1.0
,43,1,0,0.9676507
,43,2,0,0.6966017
,43,3,0,0.6993636
,44,0,0,0.7794453
,44,1,2,1.0
,44,2,0,0.687053
,44,3,0,0.70287186
,45,0,3,1.0
,45,1,0,0.9217935
,45,2,0,0.5407332
,45,3,0,0.7282661
,46,0,1,0.53996074
,46,1,0,0.60841066
,46,2,3,1.0
,46,3,0,0.5703558
,47,0,2,1.0
,47,1,0,0.86912745
,47,2,0,0.6232406
,47,3,0,0.6836212
,48,0,0,0.77774286
,48,1,2,1.0
,48,2,0,0.6951922
,48,3,0,0.7003248
,49,0,3,1.0
,49,1,0,0.9496361
,49,2,0,0.7268868
,49,3,0,0.72878003
,50,0,1,0.70424825
,50,1,2,1.0
,50,2,0,0.5847254
,50,3,0,0.6021558
,51,0,2,1.0
,51,1,0,0.91292036
,51,2,0,0.6853738
,51,3,0,0.86879903
,52,0,0,0.907295
,52,1,0,0.8846347
,52,2,0,0.7111197
,52,3,2,1.0
,53,0,0,0.7150508
,53,1,2,1.0
,53,2,0,0.8756207
,53,3,0,0.9066508
