iter,t,j,argmax_state,max_prob
,0,0,3,0.5121978
,0,1,0,1.0
,0,2,0,1.0
,0,3,0,1.0
,1,0,0,0.5013197
,1,1,2,1.0
,1,2,0,0.50081164
,1,3,1,0.5015614
,2,0,0,0.5010135
,2,1,1,0.5010163
,2,2,1,0.5013593
,2,3,2,1.0
,3,0,1,0.50135934
,3,1,0,0.5010145
,3,2,2,1.0
,3,3,1,0.5010163
,4,0,2,1.0
,4,1,1,0.50135934
,4,2,1,0.50101835
,4,3,0,0.5010135
,5,0,1,0.50101537
,5,1,2,1.0
,5,2,0,0.50584406
,5,3,0,0.50101274
,6,0,1,0.5013585
,6,1,1,0.50101537
,6,2,3,1.0
,6,3,0,0.5010127
,7,0,2,1.0
,7,1,1,0.5013585
,7,2,0,0.50354457
,7,3,0,0.5010127
,8,0,0,0.5038143
,8,1,2,1.0
,8,2,0,0.50101167
,8,3,0,0.50101364
,9,0,3,1.0
,9,1,1,0.5010163
,9,2,0,0.5010126
,9,3,1,0.50135934
,10,0,0,0.5083745
,10,1,0,0.5010135
,10,2,0,0.5010137
,10,3,2,1.0
,11,0,3,1.0
,11,1,0,0.5010127
,11,2,1,0.5013593
,11,3,1,0.5010163
,12,0,0,0.5083745
,12,1,0,0.5010127
,12,2,2,1.0
,12,3,0,0.5010135
,13,0,3,1.0
,13,1,0,0.5010108
,13,2,1,0.5033884
,13,3,0,0.5010127
,14,0,0,0.5035455
,14,1,0,0.5058431
,14,2,2,1.0
,14,3,0,0.5010127
,15,0,1,0.50136036
,15,1,3,1.0
,15,2,1,0.5010163
,15,3,0,0.5010127
,16,0,2,1.0
,16,1,0,0.50117254
,16,2,0,0.50101453
,16,3,0,0.5010127
,17,0,1,0.5010163
,17,1,2,1.0
,17,2,1,0.5013594
,17,3,0,0.5010137
,18,0,0,0.5010135
,18,1,1,0.50101537
,18,2,2,1.0
,18,3,1,0.5013515
,19,0,0,0.50101274
,19,1,1,0.5013585
,19,2,1,0.5010163
,19,3,2,0.9989059
,20,0,0,0.5010108
,20,1,2,1.0
,20,2,0,0.50101346
,20,3,1,0.50338334
,21,0,0,0.50584316
,21,1,1,0.50101537
,21,2,0,0.50101274
,21,3,2,1.0
,22,0,3,1.0
,22,1,1,0.5013585
,22,2,0,0.5010126
,22,3,1,0.5010163
,23,0,0,0.50651914
,23,1,2,1.0
,23,2,0,0.50101274
,23,3,0,0.5010135
,24,0,3,0.74237907
,24,1,0,0.5038143
,24,2,0,0.5010126
,24,3,0,0.50101274
,25,0,1,0.50000244
,25,1,3,1.0
,25,2,0,0.50101274
,25,3,0,0.5010127
,26,0,2,1.0
,26,1,0,0.50117254
,26,2,0,0.5010126
,26,3,0,0.5010127
,27,0,1,0.50338835
,27,1,2,1.0
,27,2,0,0.5010137
,27,3,0,0.50101274
,28,0,2,1.0
,28,1,1,0.5010163
,28,2,1,0.5013593
,28,3,0,0.5010127
,29,0,1,0.50338835
,29,1,0,0.5010145
,29,2,2,1.0
,29,3,0,0.50101274
,30,0,2,1.0
,30,1,1,0.50135934
,30,2,1,0.50101537
,30,3,0,0.5010127
,31,0,1,0.50101537
,31,1,2,1.0
,31,2,1,0.50135857
,31,3,0,0.5010127
,32,0,1,0.5013585
,32,1,1,0.50101537
,32,2,2,1.0
,32,3,0,0.50101274
,33,0,2,1.0
,33,1,1,0.5013585
,33,2,1,0.5010163
,33,3,0,0.5010127
,34,0,0,0.5038143
,34,1,2,1.0
,34,2,0,0.50101453
,34,3,0,0.50101274
,35,0,3,1.0
,35,1,1,0.5010163
,35,2,1,0.5013593
,35,3,0,0.5010127
,36,0,0,0.50117254
,36,1,0,0.5010135
,36,2,2,1.0
,36,3,0,0.5010127
,37,0,2,1.0
,37,1,0,0.50101274
,37,2,1,0.5033884
,37,3,0,0.50101274
,38,0,1,0.50338835
,38,1,0,0.5010127
,38,2,2,1.0
,38,3,0,0.50101364
,39,0,2,1.0
,39,1,0,0.5010127
,39,2,1,0.5010163
,39,3,1,0.50135934
,40,0,1,0.50338835
,40,1,0,0.50101364
,40,2,0,0.5010136
,40,3,2,1.0
,41,0,2,1.0
,41,1,1,0.50135934
,41,2,0,0.5010126
,41,3,1,0.5010163
,42,0,1,0.50338835
,42,1,2,1.0
,42,2,0,0.50101274
,42,3,0,0.5010135
,43,0,2,1.0
,43,1,1,0.50338835
,43,2,0,0.5010126
,43,3,0,0.5010127
,44,0,0,0.5038143
,44,1,2,1.0
,44,2,0,0.5010107
,44,3,0,0.50101274
,45,0,3,1.0
,45,1,1,0.5010163
,45,2,0,0.50584316
,45,3,0,0.5010127
,46,0,0,0.50117254
,46,1,0,0.5010145
,46,2,3,1.0
,46,3,0,0.50101274
,47,0,2,1.0
,47,1,1,0.50135934
,47,2,0,0.50354457
,47,3,0,0.5010127
,48,0,0,0.5038143
,48,1,2,1.0
,48,2,0,0.50101167
,48,3,0,0.5010127
,49,0,3,1.0
,49,1,1,0.50338835
,49,2,0,0.5010126
,49,3,0,0.50101274
,50,0,0,0.50117254
,50,1,2,1.0
,50,2,0,0.50101274
,50,3,0,0.50101364
,51,0,2,1.0
,51,1,1,0.50101537
,51,2,0,0.5010126
,51,3,1,0.50135934
,52,0,1,0.5010163
,52,1,1,0.5013585
,52,2,0,0.5010137
,52,3,2,1.0
,53,0,0,0.5010135
,53,1,2,1.0
,53,2,1,0.5013594
,53,3,1,0.5010163
,54,0,0,0.50101274
,54,1,1,0.50338835
,54,2,2,1.0
,54,3,0,0.5010116
,55,0,0,0.5010127
,55,1,2,1.0
,55,2,1,0.5010163
,55,3,0,0.5058431
,56,0,0,0.5010137
,56,1,0,0.5038143
,56,2,0,0.5010136
,56,3,3,1.0
,57,0,1,0.50135934
,57,1,3,1.0
,57,2,0,0.50101274
,57,3,0,0.5035445
,58,0,2,1.0
,58,1,0,0.5083745
,58,2,0,0.50101274
,58,3,0,0.50100976
,59,0,1,0.50101537
,59,1,3,1.0
,59,2,0,0.5010126
,59,3,0,0.5058431
,60,0,1,0.5013585
,60,1,0,0.50354546
,60,2,0,0.50101274
,60,3,3,1.0
,61,0,2,1.0
,61,1,1,0.50136036
,61,2,0,0.5010126
,61,3,0,0.50354457
,62,0,1,0.50338835
,62,1,2,1.0
,62,2,0,0.5010137
,62,3,0,0.50101167
,63,0,2,1.0
,63,1,1,0.5010163
,63,2,1,0.5013594
,63,3,0,0.50101274
,64,0,1,0.50338835
,64,1,0,0.5010145
,64,2,2,1.0
,64,3,0,0.5010127
,65,0,2,1.0
,65,1,1,0.50135934
,65,2,1,0.5010163
,65,3,0,0.50101274
,66,0,1,0.50338835
,66,1,2,1.0
,66,2,0,0.50101453
,66,3,0,0.5010127
,67,0,2,1.0
,67,1,1,0.5010163
,67,2,1,0.5013594
,67,3,0,0.5010127
,68,0,1,0.50338835
,68,1,0,0.5010135
,68,2,2,1.0
,68,3,0,0.50101274
,69,0,2,1.0
,69,1,0,0.5010127
,69,2,1,0.5033884
,69,3,0,0.50101364
,70,0,1,0.5010163
,70,1,0,0.5010137
,70,2,2,1.0
,70,3,1,0.50135934
,71,0,0,0.5010145
,71,1,1,0.50135934
,71,2,1,0.5010163
,71,3,2,1.0
,72,0,1,0.50135934
,72,1,2,1.0
,72,2,0,0.50101155
,72,3,1,0.5010163
,73,0,2,1.0
,73,1,1,0.5010163
,73,2,0,0.50584316
,73,3,0,0.5010135
,74,0,1,0.50338835
,74,1,0,0.5010135
,74,2,3,1.0
,74,3,0,0.5010127
,75,0,2,1.0
,75,1,0,0.5010127
,75,2,0,0.5011725
,75,3,0,0.50101274
,76,0,1,0.50338835
,76,1,0,0.5010127
,76,2,2,1.0
,76,3,0,0.5010127
,77,0,2,1.0
,77,1,0,0.50101274
,77,2,1,0.5033884
,77,3,0,0.50101274
,78,0,0,0.5038143
,78,1,0,0.5010127
,78,2,2,1.0
,78,3,0,0.5010127
,79,0,3,1.0
,79,1,0,0.50101274
,79,2,1,0.5010163
,79,3,0,0.5010108
,80,0,2,1.0
,80,1,0,0.5010127
,80,2,0,0.50101346
,80,3,0,0.50584316
,81,0,1,0.50338835
,81,1,0,0.5010127
,81,2,0,0.50101274
,81,3,3,1.0
,82,0,2,1.0
,82,1,0,0.50101274
,82,2,0,0.5010126
,82,3,0,0.5083745
,83,0,0,0.5038143
,83,1,0,0.5010108
,83,2,0,0.50101274
,83,3,3,1.0
,84,0,3,1.0
,84,1,0,0.50584316
,84,2,0,0.5010126
,84,3,0,0.50354457
,85,0,0,0.50117254
,85,1,3,1.0
,85,2,0,0.50101274
,85,3,0,0.5010126
,86,0,2,1.0
,86,1,0,0.50354457
,86,2,0,0.5010126
,86,3,1,0.50135934
,87,0,1,0.50338835
,87,1,0,0.50101167
,87,2,0,0.5010107
,87,3,2,1.0
,88,0,2,1.0
,88,1,0,0.5010127
,88,2,0,0.50584316
,88,3,1,0.5010163
,89,0,1,0.50338835
,89,1,0,0.5010137
,89,2,3,1.0
,89,3,0,0.5010135
,90,0,2,1.0
,90,1,1,0.50135934
,90,2,0,0.50354457
,90,3,0,0.50101274
,91,0,0,0.5038142
,91,1,2,1.0
,91,2,0,0.50101167
,91,3,0,0.50101364
,92,0,3,1.0
,92,1,1,0.5010163
,92,2,0,0.50101274
,92,3,1,0.50135934
,93,0,0,0.5083745
,93,1,0,0.5010145
,93,2,0,0.50101274
,93,3,2,1.0
,94,0,3,1.0
,94,1,1,0.50135934
,94,2,0,0.5010126
,94,3,1,0.5010163
,95,0,0,0.50117326
,95,1,2,1.0
,95,2,0,0.5010137
,95,3,0,0.5010135
,96,0,2,0.9998915
,96,1,1,0.5010163
,96,2,1,0.5013594
,96,3,0,0.5010127
,97,0,1,0.50338787
,97,1,0,0.5010135
,97,2,2,1.0
,97,3,0,0.5010108
,98,0,2,1.0
,98,1,0,0.50101274
,98,2,1,0.5010163
,98,3,0,0.5058431
,99,0,0,0.5038143
,99,1,0,0.5010107
,99,2,0,0.50101346
,99,3,3,1.0
,100,0,3,1.0
,100,1,0,0.5058431
,100,2,0,0.50101274
,100,3,0,0.5035455
,101,0,0,0.50354457
,101,1,3,0.9999988
,101,2,0,0.5010126
,101,3,1,0.50136036
,102,0,0,0.50101167
,102,1,0,0.5083745
,102,2,0,0.50101274
,102,3,2,1.0
,103,0,0,0.5010137
,103,1,3,1.0
,103,2,0,0.5010126
,103,3,1,0.50338835
,104,0,1,0.50135934
,104,1,0,0.5035426
,104,2,0,0.50101274
,104,3,2,1.0
,105,0,2,1.0
,105,1,0,0.5058421
,105,2,0,0.5010126
,105,3,1,0.5010183
,106,0,1,0.5010163
,106,1,3,1.0
,106,2,0,0.5010137
,106,3,0,0.505844
,107,0,0,0.5010135
,107,1,0,0.5035455
,107,2,1,0.5013594
,107,3,3,1.0
,108,0,0,0.50101364
,108,1,1,0.50136036
,108,2,2,1.0
,108,3,0,0.50354457
,109,0,1,0.5013593
,109,1,2,1.0
,109,2,1,0.5010163
,109,3,0,0.50101167
,110,0,2,0.99999094
,110,1,1,0.5010163
,110,2,0,0.50101346
,110,3,0,0.50101364
,111,0,3,1.0
,111,1,0,0.5010135
,111,2,0,0.50101274
,111,3,1,0.50135934
,112,0,0,0.5083745
,112,1,0,0.50101364
,112,2,0,0.5010126
,112,3,2,1.0
,113,0,3,1.0
,113,1,1,0.50135934
,113,2,0,0.50101274
,113,3,1,0.50101537
,114,0,0,0.50354457
,114,1,2,1.0
,114,2,0,0.5010126
,114,3,1,0.5013585
,115,0,0,0.50101167
,115,1,1,0.50338835
,115,2,0,0.50101274
,115,3,2,1.0
,116,0,0,0.5010108
,116,1,2,1.0
,116,2,0,0.50101274
,116,3,1,0.50338835
,117,0,0,0.5058431
,117,1,1,0.5010163
,117,2,0,0.50101274
,117,3,2,1.0
,118,0,3,1.0
,118,1,0,0.5010135
,118,2,0,0.5010126
,118,3,1,0.50338835
,119,0,0,0.50117254
,119,1,0,0.50101364
,119,2,0,0.50101274
,119,3,2,1.0
,120,0,2,1.0
,120,1,1,0.50135934
,120,2,0,0.5010126
,120,3,1,0.50101537
,121,0,1,0.5010163
,121,1,2,1.0
,121,2,0,0.5010137
,121,3,1,0.5013585
,122,0,0,0.5010135
,122,1,1,0.50101537
,122,2,1,0.5013594
,122,3,2,1.0
,123,0,0,0.5010127
,123,1,1,0.50135857
,123,2,2,1.0
,123,3,1,0.5010163
,124,0,0,0.50101364
,124,1,2,1.0
,124,2,1,0.5033805
,124,3,0,0.5010135
,125,0,1,0.50135934
,125,1,1,0.5010163
,125,2,2,0.9989058
,125,3,0,0.50101364
,126,0,2,1.0
,126,1,0,0.5010135
,126,2,1,0.5010113
,126,3,1,0.50135934
,127,0,1,0.50338835
,127,1,0,0.50101364
,127,2,0,0.50101346
,127,3,2,1.0
,128,0,2,1.0
,128,1,1,0.50135934
,128,2,0,0.5010107
,128,3,1,0.5010163
,129,0,1,0.5010163
,129,1,2,1.0
,129,2,0,0.50584316
,129,3,0,0.5010135
,130,0,0,0.5010135
,130,1,1,0.5033884
,130,2,3,1.0
,130,3,0,0.5010127
,131,0,0,0.50101274
,131,1,2,1.0
,131,2,0,0.5083746
,131,3,0,0.5010127
,132,0,0,0.5010108
,132,1,0,0.5038143
,132,2,3,1.0
,132,3,0,0.5010127
,133,0,0,0.5058431
,133,1,3,1.0
,133,2,0,0.50354457
,133,3,0,0.50101274
,134,0,3,0.9999999
,134,1,0,0.5083745
,134,2,0,0.50101167
,134,3,0,0.5010127
,135,0,0,0.50117254
,135,1,3,0.99999666
,135,2,0,0.5010126
,135,3,0,0.50101274
,136,0,2,1.0
,136,1,0,0.5083745
,136,2,0,0.50101274
,136,3,0,0.5010127
,137,0,1,0.50338835
,137,1,3,1.0
,137,2,0,0.5010126
,137,3,0,0.5010127
,138,0,2,1.0
,138,1,0,0.50117254
,138,2,0,0.5010137
,138,3,0,0.50101274
,139,0,1,0.5010163
,139,1,2,1.0
,139,2,1,0.5013593
,139,3,0,0.5010127
