iter,t,j,argmax_state,max_prob
,0,0,3,0.5863214
,0,1,0,1.0
,0,2,0,1.0
,0,3,0,1.0
,1,0,0,0.8138819
,1,1,2,1.0
,1,2,0,0.9879129
,1,3,0,0.9253678
,2,0,0,0.90466297
,2,1,0,0.6982363
,2,2,0,0.9160137
,2,3,2,1.0
,3,0,0,0.85158813
,3,1,0,0.8529352
,3,2,2,1.0
,3,3,0,0.784909
,4,0,2,1.0
,4,1,0,0.8115568
,4,2,1,0.6427072
,4,3,0,0.96829194
,5,0,1,0.91434735
,5,1,2,1.0
,5,2,1,0.6008424
,5,3,0,0.99329334
,6,0,1,0.7822302
,6,1,1,0.590954
,6,2,3,1.0
,6,3,0,0.9965269
,7,0,2,1.0
,7,1,1,0.53196156
,7,2,0,0.644064
,7,3,0,0.995662
,8,0,1,0.9265387
,8,1,2,1.0
,8,2,0,0.945683
,8,3,0,0.9859725
,9,0,3,1.0
,9,1,1,0.6697808
,9,2,0,0.98554265
,9,3,0,0.91451216
,10,0,1,0.9617892
,10,1,0,0.9051579
,10,2,0,0.981446
,10,3,2,1.0
,11,0,3,1.0
,11,1,0,0.98338693
,11,2,0,0.91100913
,11,3,0,0.7849381
,12,0,1,0.9617892
,12,1,0,0.99236923
,12,2,2,1.0
,12,3,0,0.9683307
,13,0,3,1.0
,13,1,0,0.9811862
,13,2,1,0.9049728
,13,3,0,0.99335444
,14,0,1,0.7819631
,14,1,0,0.88873065
,14,2,2,1.0
,14,3,0,0.99674505
,15,0,1,0.7099925
,15,1,3,1.0
,15,2,0,0.69823617
,15,3,0,0.9970293
,16,0,3,0.9958304
,16,1,1,0.9500134
,16,2,0,0.8529352
,16,3,0,0.995761
,17,0,0,0.64273745
,17,1,2,1.0
,17,2,0,0.8115569
,17,3,0,0.9860092
,18,0,0,0.945476
,18,1,1,0.590954
,18,2,2,1.0
,18,3,0,0.91448796
,19,0,0,0.9854832
,19,1,1,0.53196156
,19,2,0,0.7849427
,19,3,2,0.9976145
,20,0,0,0.9813686
,20,1,2,1.0
,20,2,0,0.9683368
,20,3,1,0.98590237
,21,0,0,0.91064864
,21,1,1,0.590954
,21,2,0,0.99336404
,21,3,2,1.0
,22,0,2,0.98641104
,22,1,1,0.53196156
,22,2,0,0.9967789
,22,3,0,0.7849427
,23,0,1,0.9854993
,23,1,2,1.0
,23,2,0,0.9972415
,23,3,0,0.9683368
,24,0,2,0.9999951
,24,1,1,0.9265387
,24,2,0,0.9972805
,24,3,0,0.99336416
,25,0,1,0.98598796
,25,1,3,1.0
,25,2,0,0.9971074
,25,3,0,0.9967795
,26,0,2,1.0
,26,1,1,0.9500134
,26,2,0,0.9957775
,26,3,0,0.99724567
,27,0,1,0.9049728
,27,1,2,1.0
,27,2,0,0.98602426
,27,3,0,0.99730927
,28,0,2,1.0
,28,1,0,0.6982363
,28,2,0,0.91455203
,28,3,0,0.9973179
,29,0,1,0.9049728
,29,1,0,0.8529352
,29,2,2,1.0
,29,3,0,0.9973191
,30,0,2,1.0
,30,1,0,0.8115568
,30,2,1,0.59095407
,30,3,0,0.9973192
,31,0,1,0.590954
,31,1,2,1.0
,31,2,1,0.5319617
,31,3,0,0.9973192
,32,0,1,0.5319616
,32,1,1,0.590954
,32,2,2,1.0
,32,3,0,0.9973191
,33,0,2,1.0
,33,1,1,0.53196156
,33,2,0,0.69823635
,33,3,0,0.99731874
,34,0,1,0.9265387
,34,1,2,1.0
,34,2,0,0.8529352
,34,3,0,0.99731535
,35,0,3,1.0
,35,1,0,0.784909
,35,2,0,0.8115567
,35,3,0,0.9972906
,36,0,1,0.9500134
,36,1,0,0.96829194
,36,2,2,1.0
,36,3,0,0.99710894
,37,0,2,1.0
,37,1,0,0.99329334
,37,2,1,0.9049728
,37,3,0,0.99577785
,38,0,1,0.9049728
,38,1,0,0.9965269
,38,2,2,1.0
,38,3,0,0.98602426
,39,0,2,1.0
,39,1,0,0.995662
,39,2,0,0.7848989
,39,3,0,0.9145523
,40,0,1,0.9049728
,40,1,0,0.9859725
,40,2,0,0.96827865
,40,3,2,1.0
,41,0,2,1.0
,41,1,0,0.91451216
,41,2,0,0.9932721
,41,3,0,0.7849427
,42,0,1,0.9049728
,42,1,2,1.0
,42,2,0,0.99645174
,42,3,0,0.9683368
,43,0,2,1.0
,43,1,1,0.9049728
,43,2,0,0.9951901
,43,3,0,0.99336404
,44,0,1,0.9265387
