iter,t,j,argmax_state,max_prob
,0,0,2,0.5191257
,0,1,0,1.0
,0,2,0,1.0
,0,3,0,1.0
,1,0,0,0.95166117
,1,1,3,1.0
,1,2,1,0.5513172
,1,3,0,0.88440794
,2,0,1,0.5636565
,2,1,0,0.9492797
,2,2,0,0.77440095
,2,3,3,1.0
,3,0,0,0.77187485
,3,1,1,0.5233352
,3,2,3,1.0
,3,3,0,0.9377135
,4,0,3,1.0
,4,1,0,0.92062277
,4,2,0,0.970745
,4,3,1,0.74060273
,5,0,0,0.9710826
,5,1,2,1.0
,5,2,0,0.878512
,5,3,1,0.85906607
,6,0,0,0.8787463
,6,1,0,0.9753538
,6,2,3,1.0
,6,3,1,0.87705857
,7,0,3,1.0
,7,1,0,0.8795141
,7,2,0,0.9381044
,7,3,1,0.86513937
,8,0,0,0.99681324
,8,1,3,1.0
,8,2,1,0.7329324
,8,3,1,0.77715236
,9,0,3,1.0
,9,1,0,0.93767583
,9,2,1,0.8311856
,9,3,0,0.7290865
,10,0,0,0.9968167
,10,1,1,0.7398053
,10,2,1,0.73889697
,10,3,3,1.0
,11,0,3,1.0
,11,1,1,0.8557443
,11,2,0,0.9030444
,11,3,0,0.9376324
,12,0,0,0.9968559
,12,1,1,0.8613609
,12,2,2,1.0
,12,3,1,0.7408403
,13,0,3,1.0
,13,1,1,0.77717733
,13,2,0,0.999214
,13,3,1,0.8586868
,14,0,0,0.93078923
,14,1,0,0.7088838
,14,2,2,1.0
,14,3,1,0.8894443
,15,0,0,0.837524
,15,1,3,1.0
,15,2,0,0.9551139
,15,3,1,0.8823108
,16,0,3,1.0
,16,1,0,0.9896438
,16,2,1,0.58956254
,16,3,1,0.87678325
,17,0,0,0.8676057
,17,1,3,1.0
,17,2,0,0.74824023
,17,3,1,0.7959864
,18,0,1,0.74765754
,18,1,0,0.97147083
,18,2,3,1.0
,18,3,0,0.72502154
,19,0,1,0.83996606
,19,1,0,0.87872005
,19,2,0,0.9377741
,19,3,3,1.0
,20,0,1,0.77054447
,20,1,3,1.0
,20,2,1,0.7408368
,20,3,0,0.99681276
,21,0,0,0.7305846
,21,1,0,0.97068805
,21,2,1,0.8596134
,21,3,3,1.0
,22,0,3,1.0
,22,1,0,0.8785598
,22,2,1,0.8804067
,22,3,0,0.93774015
,23,0,0,0.99681145
,23,1,3,1.0
,23,2,1,0.88397604
,23,3,1,0.7408469
,24,0,3,1.0
,24,1,0,0.99680686
,24,2,1,0.88399667
,24,3,1,0.85965025
,25,0,0,0.9968064
,25,1,3,1.0
,25,2,1,0.88062084
,25,3,1,0.8804526
,26,0,3,1.0
,26,1,0,0.9990683
,26,2,1,0.86073947
,26,3,1,0.88409203
