iter,t,j,argmax_state,max_prob
,0,0,2,0.5087602
,0,1,0,1.0
,0,2,0,1.0
,0,3,0,1.0
,1,0,0,0.8385406
,1,1,2,0.9987023
,1,2,1,0.5666543
,1,3,0,0.6450559
,2,0,1,0.57332116
,2,1,0,0.86644477
,2,2,0,0.6589483
,2,3,3,1.0
,3,0,0,0.6584923
,3,1,1,0.5722155
,3,2,2,0.9916241
,3,3,0,0.80944836
,4,0,2,1.0
,4,1,0,0.6669268
,4,2,0,0.8689052
,4,3,1,0.58962864
,5,0,1,0.57461536
,5,1,2,1.0
,5,2,0,0.5665171
,5,3,1,0.6740019
,6,0,0,0.6671519
,6,1,0,0.8703098
,6,2,3,1.0
,6,3,1,0.611078
,7,0,2,1.0
,7,1,0,0.60747635
,7,2,1,0.6756724
,7,3,1,0.6742659
,8,0,0,0.9519663
,8,1,2,1.0
,8,2,1,0.61198974
,8,3,1,0.6006067
,9,0,2,1.0
,9,1,1,0.5895229
,9,2,1,0.67659754
,9,3,0,0.59662235
,10,0,0,0.6367864
,10,1,1,0.67454326
,10,2,1,0.66838515
,10,3,2,0.9999999
,11,0,3,1.0
,11,1,1,0.61075956
,11,2,0,0.6180045
,11,3,0,0.8652424
,12,0,0,0.718314
,12,1,1,0.66145724
,12,2,3,0.9999995
,12,3,1,0.6429924
,13,0,3,1.0
,13,1,1,0.59977686
,13,2,0,0.9288193
,13,3,1,0.6098273
,14,0,1,0.6642966
,14,1,0,0.58759916
,14,2,2,1.0
,14,3,1,0.6748033
,15,0,0,0.66292155
,15,1,2,0.9999995
,15,2,0,0.8649963
,15,3,1,0.6117642
,16,0,2,1.0
,16,1,0,0.6396201
,16,2,1,0.65006256
,16,3,1,0.6766341
,17,0,1,0.5863168
,17,1,3,1.0
,17,2,0,0.5453262
,17,3,1,0.66691977
,18,0,1,0.6049377
,18,1,0,0.81618613
,18,2,3,1.0
,18,3,0,0.6159699
,19,0,1,0.6073451
,19,1,0,0.64005744
,19,2,0,0.80824894
,19,3,3,1.0
,20,0,1,0.6623474
,20,1,3,1.0
,20,2,1,0.65728647
,20,3,0,0.5461724
,21,0,0,0.6531632
,21,1,0,0.81740344
,21,2,1,0.6081446
,21,3,3,1.0
,22,0,2,0.9508582
